UniqueCount	AmbigCount
4556	0
1974	0
1194	0
0	0
0	0
949	0
3	0
507	0
875	0
910	0
2740	0
0	0
54	0
2	0
577	0
107	0
730	0
2263	6
1786	0
14	0
0	0
0	0
18	3
308	0
911	0
346	0
410	0
1086	0
21	0
0	0
15	0
1777	0
286	0
246	0
0	0
147	0
1190	0
314	0
1336	0
51	0
0	0
8	0
32	0
781	0
0	0
10	0
79	0
1544	0
0	0
389	0
229	0
200	0
0	0
3282	0
0	0
22	0
0	0
238	0
12	0
763	0
1339	0
16	0
1	0
148	0
404	0
370	0
5394	0
0	0
28	0
13189	0
1100	0
3333	0
316	0
430	0
857	0
332	0
663	0
5093	0
420	0
886	0
21	0
124	0
180	0
140	0
200	0
432	0
2690	0
657	0
18	0
59	0
213	0
6	0
20	0
404	0
33	0
528	0
223	0
739	0
348	0
10	0
12	0
336	0
988	6216
360	0
738	0
358	0
97	0
356	0
434	0
69	0
285	0
7	0
990	0
564	0
696	6216
4256	0
2	354
60	140
2622	354
0	140
306	0
251	0
4587	0
300	0
183	0
1290	0
9	0
309	0
344	0
8443	0
158	0
155	0
245	0
8	0
43	1
8	0
873	0
6	0
9	0
843	0
1	1
0	0
0	0
7	94
1893	0
581	0
3832	0
396	0
64	0
261	0
161	0
37	0
36	0
0	0
1	0
834	0
0	0
30	0
126	94
42	0
12	0
969	0
2300	0
153	144
416	0
146	0
479	0
216	0
288	0
226	0
1115	0
2004	0
1520	0
1077	0
149	0
75	0
9	0
2333	0
628	0
1023	0
4302	0
153	0
577	0
724	0
902	0
1140	0
0	0
18	0
135	0
79	0
858	0
717	0
681	0
37	0
839	0
0	0
14	0
117	0
12	0
0	0
11	0
361	0
72	0
0	0
385	0
116	0
851	107
507	0
1776	0
1318	0
3482	0
16972	0
20	0
916	0
7122	0
164	0
127	0
0	0
0	0
0	0
13	0
0	0
0	0
0	0
352	0
0	0
26	0
388	0
2970	0
157	0
687	0
4	0
0	0
214	0
111	0
38	0
925	0
0	0
0	0
54	0
6	1
90	0
242	1
110	0
11272	0
33	1
46	23
5	23
22	0
830	0
988	0
0	0
100	8
39	0
400	0
797	0
115	0
118	0
10631	0
680	0
275	0
1231	0
0	0
772	0
7	0
21	3
364	0
476	0
0	0
2583	0
89	0
104	0
0	0
499	0
435	0
592	0
194	0
114	0
232	0
193	0
391	0
2109	0
0	0
232	2486
737	2486
79	9
34	0
582	0
0	0
0	0
0	0
11	0
0	0
