baseMean log2FoldChange lfcSE stat pvalue padj svalue_shrink log2FC_shrink
Anogam_AGAP000005 775.531750575049 1.10552110715849 0.221885400209718 4.98239679633537 6.28014872491223e-07 5.03203097832338e-05 3.66068219724155e-07 1.02895911102622
Anogam_AGAP000022 1229.72208325088 1.51603359959089 0.342760336800275 4.4230135077568 9.73336534441953e-06 0.000473907778683316 1.24537772066343e-05 1.36597773102531
Anogam_AGAP000047 22.8666991597471 4.53274804132379 1.04970731591922 4.31810655463948 1.57373454694316e-05 0.000693260725094962 3.78472933344148e-05 3.99301188202844
Anogam_AGAP000347 705.405200988857 6.01819784470307 0.613119758761882 9.81569711088102 9.63695758328597e-23 4.9032840183759e-19 5.64294588692377e-22 5.8930644556332
Anogam_AGAP000427 185.668266080151 7.27335914891191 1.29576404815542 5.61318178202727 1.98639728292317e-08 2.59148445525976e-06 2.05559461299242e-08 6.79035207060802
Anogam_AGAP000438 177.741560319323 1.23607086032865 0.289132698593864 4.27509882604084 1.91052529431844e-05 0.000820316683332678 2.34214858299324e-05 1.11225353087604
Anogam_AGAP000514 196.338714607944 1.67117564763029 0.280699301631733 5.95361526699773 2.62282974049111e-09 4.37539597364549e-07 2.09292461124965e-09 1.58145719142777
Anogam_AGAP001002 1213.87631034801 7.73983176497705 1.13038728842856 6.84706192665773 7.53820925387657e-12 2.64513163336028e-09 2.31538227773503e-11 7.39925318600902
Anogam_AGAP001104 256.37572614857 3.41117809667593 0.626840464985421 5.4418600700184 5.27270871803913e-08 5.96167599052957e-06 9.40485830123165e-08 3.1707707595068
Anogam_AGAP001135 138.391051883323 2.88301727711453 0.566581390808629 5.08844329143932 3.61014699944132e-07 3.11329287002669e-05 7.47562125711314e-07 2.6502225630261
Anogam_AGAP001311 285.422091261885 1.1852669543475 0.277455836814182 4.27191212827612 1.93803949011283e-05 0.000825166939388624 2.03683518942019e-05 1.06846521719154
Anogam_AGAP001621 550.94946569741 1.48588232007155 0.283985818634754 5.23224126900012 1.6746696599127e-07 1.62299413897825e-05 1.60048319744162e-07 1.38352115714948
Anogam_AGAP001623 18.9095950779625 5.76016567703592 1.36205697136046 4.22901963585452 2.3471186204593e-05 0.00097486853395077 1.19712896721603e-05 5.10814183619364
Anogam_AGAP002622 56.8252598788085 6.69703046692559 1.16116982184273 5.76748580694053 8.0462858990799e-09 1.16970007584339e-06 3.59852538048203e-09 6.28599921039317
Anogam_AGAP003000 168.7679229609 3.55046960001642 0.736977805228955 4.81760722619511 1.45290016597898e-06 0.00010196353164829 2.90729539105106e-06 3.22290520443659
Anogam_AGAP003225 41.3279823112556 6.73319260654545 1.37973404758982 4.88006555923389 1.06050581333969e-06 7.82007764967004e-05 9.74350206147215e-07 6.13244700746119
Anogam_AGAP003543 157.879655337196 1.58873469959963 0.360172243858167 4.41104145777891 1.02874617112016e-05 0.000496138437787619 1.48771647650057e-05 1.42832071211591
Anogam_AGAP003768 9925.19506953266 1.09279003862983 0.235565456055312 4.6390080147118 3.50085478489419e-06 0.000215907262370202 2.41233339927339e-06 1.00590946789492
Anogam_AGAP003860 396.865834242937 1.60865436553225 0.359130725168161 4.47930030152392 7.48881146708616e-06 0.000388806864740147 8.7815625303125e-06 1.45134647622818
Anogam_AGAP004015 61.4051135905971 6.11471519803746 1.37402940391634 4.45020694652452 8.5787582831661e-06 0.000425841191656089 2.21978336557826e-05 5.43455307107245
Anogam_AGAP004018 96.3435268995974 3.16219050498125 0.652512847719831 4.8461735520325 1.25865421706633e-06 9.14861808061929e-05 1.9378130696827e-06 2.87488130179623
Anogam_AGAP004036 62.016190135799 7.50131708954274 1.4022505476217 5.34948415763887 8.82052814913004e-08 9.54869089846248e-06 1.6062172820317e-08 6.98409240647348
Anogam_AGAP004275 118.933465348965 2.45802363051763 0.482770091369067 5.0914993999463 3.55242997284727e-07 3.10855975435456e-05 6.57557358136978e-07 2.26296551468858
Anogam_AGAP004752 361.10620745011 1.21241256546268 0.251122792376885 4.82796704348164 1.37933913092593e-06 9.8154930044072e-05 1.32517082140096e-06 1.11953362539619
Anogam_AGAP004802 779.980007503272 2.62398949344834 0.477401333251311 5.4964016869786 3.8761902928389e-08 4.64048381410925e-06 5.02666165013531e-08 2.4466943538686
Anogam_AGAP004957 27.622596533204 6.2544294073152 1.31147413799682 4.76900704795322 1.85136183941116e-06 0.000125596387185653 8.50779188483926e-07 5.69763322390275
Anogam_AGAP005095 459.382237698081 4.03027425050251 0.952638990601053 4.23064171240741 2.3302558316378e-05 0.000971831284538781 7.62757846182145e-05 3.5278987014601
Anogam_AGAP005564 97.3793418836397 1.76615718098007 0.326953906739071 5.40185373098958 6.5955722591844e-08 7.29527644668048e-06 7.4404371046562e-08 1.64849561866657
Anogam_AGAP005653 413.5414150421 1.48220889225456 0.291772460447719 5.0800164278018 3.77402231120426e-07 3.20037091990121e-05 3.22808063621647e-07 1.3743199216669
Anogam_AGAP005733 224.118993442435 6.68560765157736 1.20955085544288 5.52734729713322 3.25108985720517e-08 4.08433214653331e-06 5.77039366045607e-08 6.22459816934782
Anogam_AGAP005781 562.348111620007 5.59154474253309 0.718463744716519 7.78264008956961 7.10264838568696e-15 7.22765499727505e-12 1.67208415503893e-14 5.40522225960352
Anogam_AGAP005929 2300.2761736414 3.10000211041711 0.330482835601303 9.38022122927129 6.58344474929528e-21 1.33986267537658e-17 1.64526212743742e-20 3.03550599023376
Anogam_AGAP006000 137.814522518894 5.90578169347878 1.3033962270316 4.53107165035211 5.8685228927305e-06 0.000329050568034117 2.28111856475211e-05 5.25833798262811
Anogam_AGAP006001 951.947768826373 6.29006110881161 1.16551654437106 5.39680122018849 6.78394752156307e-08 7.42295161069094e-06 1.4201869609773e-07 5.82981549342185
Anogam_AGAP006023 515.010542797069 2.92250265882557 0.635027034858736 4.60217045637386 4.18110790857558e-06 0.000247366012079448 7.57939165556695e-06 2.62810296109613
Anogam_AGAP006823 93.9308168715967 3.69503788812642 0.848713674995116 4.35369194227686 1.33863782532386e-05 0.000610851054282314 4.04268884380021e-05 3.26670431305791
Anogam_AGAP007300 81.1525816568071 5.96507678264567 1.31665613999439 4.53047428364331 5.88514184180516e-06 0.000329050568034117 1.29321456222986e-05 5.33410461204175
Anogam_AGAP007318 1145.84800410173 7.07188629986054 0.743311565935199 9.51402698942674 1.83421316536547e-21 6.22165105691969e-18 8.14627099726518e-21 6.9148480627793
Anogam_AGAP007453 221.89857222887 4.71794133438773 0.921661098040728 5.11895461837019 3.07233872792958e-07 2.7478323418468e-05 7.98218902237015e-07 4.33162816257153
Anogam_AGAP007454 278.831065815719 5.02977636687156 0.72905881317183 6.89899947164634 5.23700662857874e-12 2.31703388923553e-09 8.02997849622078e-12 4.81360746966439
Anogam_AGAP007455 130.372030505494 3.25572070595326 0.695531312295015 4.68091176975268 2.85601844210401e-06 0.000185113653928983 5.51134750476738e-06 2.93664483381982
Anogam_AGAP007502 51.1094707656154 2.70061676117064 0.569021299478257 4.74607323776258 2.07403641521981e-06 0.000137943755302462 3.63153589734701e-06 2.44793113949081
Anogam_AGAP007635 1325.34810496836 1.25128851931378 0.289363675603757 4.3242764203315 1.53033316522542e-05 0.000680029270276591 1.75377858778211e-05 1.12879455912862
Anogam_AGAP007767 109.042094933269 10.0753355360394 1.63927236548771 6.14622423226288 7.93490898522423e-10 1.58324772222827e-07 7.76948485088259e-05 10.8450597106855
Anogam_AGAP007781 1169.10753784254 1.41705509754011 0.335231556027455 4.22709339876121 2.36729422486474e-05 0.000979251464724537 3.44951255447683e-05 1.26316922328949
Anogam_AGAP007838 28.2681088698407 8.12764632786054 1.89085886578446 4.29838867137691 1.72044278379836e-05 0.000751383080168759 0.00112694287191048 8.21918026151281
Anogam_AGAP007959 256.723178864064 5.66835713523572 1.22730400876568 4.61854364912934 3.8644269654874e-06 0.000232688809472188 1.15001571200838e-05 5.0794340207318
Anogam_AGAP008282 383.984318463866 6.45217457507986 1.21349940515237 5.31699854790595 1.05492909967794e-07 1.07774294555533e-05 2.47110177712079e-07 5.96459313420858
Anogam_AGAP008410 158.214307953374 4.81311909037363 1.03645584718691 4.64382453284153 3.42018066438106e-06 0.000213519990433998 8.34703109382229e-06 4.32454345951936
Anogam_AGAP008432 2575.62204448498 1.26571228150619 0.287073054651553 4.40902502341259 1.03837028135437e-05 0.000498417735050096 1.00672420626836e-05 1.14688478477982
Anogam_AGAP008783 55.7235569325679 4.93412292472649 1.11610139434373 4.42085544353948 9.83109276457995e-06 0.000476386666535074 2.46660082849607e-05 4.38599211798345
Anogam_AGAP009222 105.879537294987 1.93912052756708 0.410138039556518 4.72797044054693 2.26775188782966e-06 0.000149848332536069 3.25502061372464e-06 1.7641544909541
Anogam_AGAP009609 120.026497637241 3.51446935913138 0.77336132007285 4.54440798616657 5.50898650798434e-06 0.000313368383032017 1.38812774973128e-05 3.14466305657614
Anogam_AGAP010018 35.9915570985435 4.97607672289711 0.977551798186432 5.09034583346765 3.57411056662228e-07 3.10855975435456e-05 6.14985507665175e-07 4.56569725201321
Anogam_AGAP010159 131.25239363426 2.33368181546041 0.521285505242213 4.47678247714958 7.57763859348413e-06 0.000391421575265454 1.53984206610632e-05 2.08865208087238
Anogam_AGAP010198 315.599769733732 1.77249072037104 0.415064276208724 4.27040056677801 1.95122199683763e-05 0.000827318126659153 3.5344797810111e-05 1.57570963394413
Anogam_AGAP010308 621.793013436704 1.28857883298452 0.289345779783084 4.45342190216336 8.45124570209048e-06 0.00042166369662046 7.96588775363772e-06 1.1688526655698
Anogam_AGAP010548 1396.37254477393 10.0552476843584 0.779830618384006 12.8941432245828 4.85630272247551e-38 4.94177365039108e-34 4.51865654481219e-37 9.93418517712314
Anogam_AGAP010612 1600.9742148491 1.26805103694632 0.274459700154034 4.62017205525859 3.83421948261973e-06 0.000232244151518681 3.82232787981658e-06 1.15977504703904
Anogam_AGAP010702 168.785534338242 1.66538438536877 0.388247944083863 4.28948668176088 1.79086551577852e-05 0.000772196927481451 2.94883336585915e-05 1.48484210053102
Anogam_AGAP010789 386.738325259718 7.74457864682285 1.21357145978764 6.38164204041024 1.75199111209525e-10 4.2448241801622e-08 2.29137913314532e-10 7.354771537228
Anogam_AGAP010835 66.5379967156459 3.2338680134957 0.559632309334302 5.77855845625224 7.53433670008414e-09 1.11115087333415e-06 6.59456192722841e-09 3.03533651053951
Anogam_AGAP011211 118.70904444244 1.72805159076847 0.393261950631954 4.39414895845269 1.11207545897148e-05 0.000523911105115452 1.86265290143044e-05 1.54893950582989
Anogam_AGAP011228 13538.6160731468 4.79227216658705 1.10637744675053 4.33149842367277 1.48098008098382e-05 0.000660984794039097 5.33647959264794e-05 4.22539702463963
Anogam_AGAP011859 1462.3837911622 2.62939877298943 0.47966833396935 5.48170180681021 4.21253832999328e-08 4.927217246668e-06 6.5389609682584e-08 2.45101880412384
Anogam_AGAP011948 1177.83518573109 5.58832020737253 0.728061336167971 7.67561732749842 1.64623896233805e-14 1.52292069825018e-11 3.51228027153381e-14 5.3974569548275
Anogam_AGAP012107 108.851623880727 3.31808241505618 0.715224050375737 4.63922097322238 3.49724961217072e-06 0.000215907262370202 6.79859120334333e-06 2.98747353186614
Anogam_AGAP013027 550.179884837837 3.74013985557559 0.742623126517485 5.03639022543628 4.74392962572376e-07 3.92473397328171e-05 1.03953146092839e-06 3.42790771444802
Anogam_AGAP028223 189.040830083539 5.73346702808537 1.30339179725049 4.39888223953853 1.08809845617317e-05 0.000517406069627019 4.39762000740159e-05 5.06733718569146
Anogam_AGAP028655 135.756631579472 6.44049854742806 1.43537499708172 4.48697975130006 7.22399373464129e-06 0.000376981334583127 2.15872726053743e-05 5.73856302352449
