baseMean log2FoldChange lfcSE stat pvalue padj svalue_shrink log2FC_shrink
Anogam_AGAP000028 321.655878592201 -1.36899281550297 0.313483483505966 -4.36703331286326 1.25945524318263e-05 0.000148464816224017 2.54872345026729e-06 -1.28777792127761
Anogam_AGAP000154 106.879786155022 -5.02856383805985 0.903746721985876 -5.56412954617437 2.63464176161907e-08 7.03855209004864e-07 3.05137067473503e-08 -4.6987669896416
Anogam_AGAP000179 1296.8444867914 -2.46582612264271 0.498365468640244 -4.94782700208051 7.50465613100029e-07 1.29058189625349e-05 3.85199639671144e-07 -2.29398377678248
Anogam_AGAP000180 2996.41254447615 -2.53669620101264 0.383493613238342 -6.61470260115147 3.72299447696718e-11 2.33703555143118e-09 2.20408913588939e-11 -2.43552828418168
Anogam_AGAP000181 439.543079164666 -2.35305521546515 0.535001526859885 -4.39822149532183 1.09141564174034e-05 0.000131690623187349 5.83075921319366e-06 -2.14898589463949
Anogam_AGAP000210 171.687105787278 -3.50111514585441 0.889926230270839 -3.93416333485179 8.34869981604251e-05 0.000715443019411616 0.000109483070876014 -3.04394794022755
Anogam_AGAP000211 516.780105089746 -3.48965682885929 0.671825585588692 -5.19428986289864 2.05502744116713e-07 4.16377045109349e-06 1.83627785673255e-07 -3.24072200097855
Anogam_AGAP000238 608.218668367991 -3.13648783898841 0.463910534521685 -6.76097567437713 1.37065538311932e-11 9.67210060694957e-10 1.24654782741413e-11 -3.01424326107485
Anogam_AGAP000270 761.331875841987 -1.2350219501691 0.300824261942446 -4.10545991933786 4.03511246482543e-05 0.000387310232083432 7.2887721995502e-06 -1.16014141346808
Anogam_AGAP000274 1222.26700518449 -3.39968706514729 0.543079675094202 -6.26001528147336 3.84939749493491e-10 1.75834978429348e-08 2.91270552157532e-10 -3.239614812569
Anogam_AGAP000313 352.406358564706 -1.55069867920327 0.375376825519159 -4.1310453224133 3.61117368854643e-05 0.000354602007497188 1.02590525208654e-05 -1.43566823080105
Anogam_AGAP000315 568.08126979847 -3.12217452600228 0.461558747048278 -6.76441416389344 1.33849685409772e-11 9.51076375772767e-10 1.10981250058705e-11 -2.9997243633861
Anogam_AGAP000326 308.829610765475 -1.43297053818903 0.348280789780516 -4.11441164783186 3.88168195793507e-05 0.000376244166516724 9.420080742614e-06 -1.33211243712615
Anogam_AGAP000327 5704.78437136963 -2.51346281198825 0.625537890303223 -4.01808243905077 5.86736711541378e-05 0.000532546042134685 4.20459826561404e-05 -2.23597403654099
Anogam_AGAP000420 15.0972767084559 -7.05828898207578 1.71643452027531 -4.112180743687 3.91939257090304e-05 0.00037833230929698 0.00172105536899305 -7.10911595759919
Anogam_AGAP000479 672.497412684296 -1.36187198225687 0.343358249218846 -3.96632958536802 7.29879178649353e-05 0.000641673192453104 1.79665187827895e-05 -1.26438658182772
Anogam_AGAP000523 7189.51629998233 -1.14200964106892 0.269637434992705 -4.23535271020439 2.28193238919507e-05 0.000241675168345627 3.5741847786095e-06 -1.08147003158323
Anogam_AGAP000535 115.099678874669 -7.1060002849466 1.07482919530819 -6.61128327734813 3.81002600926192e-11 2.36267794707685e-09 1.86532950643409e-11 -6.77856751121777
Anogam_AGAP000570 4543.1154420423 -6.50218954499946 0.954945643233319 -6.80896299289237 9.83047606681945e-12 7.34200227121873e-10 1.52115445414599e-11 -6.21207908037306
Anogam_AGAP000572 219.495030642975 -1.75760813671223 0.400927559696053 -4.38385462462269 1.16597597332251e-05 0.000139372268213037 3.75772236481894e-06 -1.63020014928162
Anogam_AGAP000573 1289.82374677828 -3.33935969434717 0.517308958436997 -6.45525201117094 1.08038963001313e-10 5.75757640327829e-09 8.58356404836767e-11 -3.19054439650762
Anogam_AGAP000579 50.2669666815277 -8.78815888322056 1.56598048082654 -5.61192108766393 2.00092687289772e-08 5.5036246676047e-07 0.000187508556601164 -9.43477162761108
Anogam_AGAP000586 7670.58381131613 -2.70385344953416 0.557863225351411 -4.84680352936141 1.25466568785773e-06 1.99653799660347e-05 7.62666438045938e-07 -2.49597895533083
Anogam_AGAP000603 11.9890272249831 -6.72235585139868 1.74061480791054 -3.86205829161496 0.000112435729365208 0.000923308493470955 0.00267924390178713 -6.62199094736633
Anogam_AGAP000629 866.995696120791 -2.54264373308221 0.530682423786288 -4.79127180233533 1.65727437518843e-06 2.53585923677961e-05 9.79558832892608e-07 -2.3507719507575
Anogam_AGAP000690 156.791346234931 -2.79017016505577 0.636190432113223 -4.38574682078715 1.15588505050549e-05 0.000138489646800611 8.92669165465865e-06 -2.52673873686202
Anogam_AGAP000719 6387.57165978058 -1.66558727140206 0.321977613662001 -5.17299091840131 2.3037621496564e-07 4.55939928728903e-06 6.30938351563608e-08 -1.58690962782028
Anogam_AGAP000740 172.889112437815 -1.88309664097438 0.370907336878271 -5.07700024707894 3.8344037406744e-07 7.18564451915394e-06 1.32904169757925e-07 -1.77695653313422
Anogam_AGAP000857 828.46075981697 -1.1109143349381 0.247495689670482 -4.48862093888254 7.16857235130105e-06 9.12298909185477e-05 1.11426934337873e-06 -1.060765738067
Anogam_AGAP000883 4709.55196469781 -1.19636639154579 0.253389506878481 -4.72145199019445 2.34166909116131e-06 3.45742541713745e-05 3.43069833646509e-07 -1.14618454989001
Anogam_AGAP000935 2499.26640077637 -1.55564273169854 0.371195258233377 -4.19090141157051 2.77848379564414e-05 0.000286298551833141 7.07324417294708e-06 -1.44683868692726
Anogam_AGAP000986 372.600768676051 -1.9118744156317 0.412267490035746 -4.63746102188638 3.52715098540003e-06 4.9438094359744e-05 1.32944349195156e-06 -1.77951413736828
Anogam_AGAP000987 1109.17585135713 -2.98999832484685 0.606130034865958 -4.93293213148242 8.10043074539181e-07 1.37224515541141e-05 5.79097933413424e-07 -2.7625152590997
Anogam_AGAP000999 2006.82428069967 -1.14173301914152 0.282474825839352 -4.04189299258421 5.30214288715117e-05 0.000489193201274399 9.16768193493947e-06 -1.07550915289739
Anogam_AGAP001065 10498.8684593837 -3.34160637221427 0.453599671638476 -7.36686241448068 1.74690607505294e-13 2.38916690443405e-11 1.43453517580384e-13 -3.23205512934773
Anogam_AGAP001115 13.2863922951318 -6.86179798837035 1.73765758899505 -3.94887809418123 7.8518322619874e-05 0.000678217573142347 0.00229429648081619 -6.81443355264134
Anogam_AGAP001116 2786.6499433424 -4.30348409029551 0.533312894230697 -8.06934191325577 7.06780816135403e-16 1.94236877795486e-13 9.05641779804456e-16 -4.17958955837385
Anogam_AGAP001127 904.162144060975 -3.97116495562152 0.581537130465541 -6.82873843746222 8.56645980194992e-12 6.58795529472651e-10 1.02051227162698e-11 -3.80352766738543
Anogam_AGAP001130 1076.12631715968 -1.77368233785806 0.390400477011685 -4.54323814211161 5.5396608567445e-06 7.33796356679992e-05 1.73998659543181e-06 -1.65149600627805
Anogam_AGAP001181 1094.20748522414 -2.98301890378489 0.553508128277333 -5.38929557018223 7.07343900786699e-08 1.64489608928398e-06 5.06419766911479e-08 -2.79162360700257
Anogam_AGAP001182 698.407235717996 -5.66134325751598 0.803513255658302 -7.04573722667183 1.84482115101842e-12 1.78077452992646e-10 2.31006565399177e-12 -5.42822357437035
Anogam_AGAP001189 190.071031693006 -2.30986196616838 0.589473621408478 -3.91851625293975 8.90957226798052e-05 0.000757795041113688 5.60153897182825e-05 -2.05693760724766
Anogam_AGAP001199 781.388308240126 -5.114803194118 1.05405067174391 -4.85252116547268 1.21901769335287e-06 1.95195446610119e-05 1.80724814475107e-06 -4.65457514497607
Anogam_AGAP001200 2786.15718822534 -3.70165067011991 0.579488661072293 -6.38778792197648 1.68302524813817e-10 8.52510610839094e-09 1.49380976983665e-10 -3.5261534721852
Anogam_AGAP001205 91.0588211346232 -4.8854538551863 1.19256199222972 -4.09660368770602 4.19255747106181e-05 0.000400170224290153 7.59402918131213e-05 -4.25216848344054
Anogam_AGAP001223 528.516449360181 -1.45440551471441 0.363339353709791 -4.00288463075784 6.25748205292357e-05 0.000564110628771048 1.72189295473705e-05 -1.34532547895831
Anogam_AGAP001240 977.891468911372 -6.76833173829726 0.776243789003444 -8.71933770573104 2.79833778026079e-18 1.43162960838142e-15 3.89988517017542e-18 -6.58548927284096
Anogam_AGAP001257 4915.95937095656 -2.72529327794724 0.516482642574521 -5.27664059408156 1.31573575934011e-07 2.81145326867709e-06 8.00640988479238e-08 -2.54647052078141
Anogam_AGAP001280 274.099897927131 -1.97115278266544 0.477136241892366 -4.131215802949 3.60849619765907e-05 0.000354602007497188 1.65797390095002e-05 -1.79602799385487
Anogam_AGAP001281 1925.7784491875 -1.72565662860704 0.325176923960955 -5.30682376715714 1.11551933856604e-07 2.44935490819909e-06 3.56505733123062e-08 -1.6415485231617
Anogam_AGAP001343 73.0865119183907 -2.87313381344789 0.492115800803072 -5.83832872010874 5.27270493841636e-09 1.72917682467552e-07 2.88307768437276e-09 -2.72411501291991
Anogam_AGAP001346 68.9943700969611 -7.32680829249156 1.28768184019794 -5.68992127074284 1.27097957711479e-08 3.71561800943958e-07 2.46572332933535e-09 -6.87931274449283
Anogam_AGAP001352 51.2197677578694 -4.25931996131622 0.766445365647632 -5.55723884861274 2.74075603218532e-08 7.24636065150394e-07 2.11991717704641e-08 -3.99149439408661
Anogam_AGAP001363 546.899715224049 -1.22496474953759 0.296499493912839 -4.1314227332128 3.60524877627459e-05 0.000354602007497188 6.25716802662581e-06 -1.15239778796879
Anogam_AGAP001365 914.251298488374 -3.21233789107493 0.524895437203962 -6.11995773517591 9.36001805640531e-10 3.7705395572102e-08 6.98898829135136e-10 -3.05384406746106
Anogam_AGAP001366 1931.78502372473 -3.27735859983236 0.515807122913951 -6.35384517630848 2.09998200656772e-10 1.02808688474646e-08 1.54940301014146e-10 -3.12652489181264
Anogam_AGAP001376 3153.7791660241 -2.25410130013078 0.466533360738161 -4.83159724433057 1.35442035274354e-06 2.12879094458861e-05 6.14498434073682e-07 -2.0953490722289
Anogam_AGAP001404 257.758432008543 -1.39665625515689 0.361009527527187 -3.86875178814141 0.00010939393291689 0.000904134670117624 2.76986895800641e-05 -1.28930467215553
Anogam_AGAP001476 1547.65775029276 -2.84984999276338 0.533115678127872 -5.34565031508944 9.00929944268897e-08 2.0171368030108e-06 6.12010350037791e-08 -2.66994299030037
Anogam_AGAP001501 1063.72385059664 -1.41375816549205 0.289111733010537 -4.89000619508073 1.00832804205045e-06 1.66138688023514e-05 2.13731868774663e-07 -1.34455288767546
Anogam_AGAP001520 1513.56032855795 -2.87059225177733 0.524982545244103 -5.4679765599494 4.5520206041043e-08 1.13049210731056e-06 3.2019085568359e-08 -2.69746155911892
Anogam_AGAP001530 158.037592714509 -1.79017736326242 0.452849434241401 -3.95314033297021 7.71321691236093e-05 0.000669394702691069 2.94477591746772e-05 -1.62719293892011
Anogam_AGAP001588 80.944777621667 -4.82048142420789 1.08744962105005 -4.4328319500017 9.30033553316471e-06 0.00011355731882499 1.44669268973594e-05 -4.30289814655104
Anogam_AGAP001636 176.794162042143 -1.94177894579789 0.459555115326959 -4.22534508057075 2.38574905294241e-05 0.00025062612227625 9.80320712642991e-06 -1.77870693785255
Anogam_AGAP001676 66.6824673055406 -4.34131575877201 0.747034638451312 -5.81139820741385 6.19531999101918e-09 1.97478237221521e-07 5.04814011759261e-09 -4.08961264436569
Anogam_AGAP001706 304.337315077581 -3.03692563058379 0.572013066869464 -5.30918925891746 1.10113945873376e-07 2.42820235813875e-06 7.64196834376263e-08 -2.83934572853298
