baseMean log2FoldChange lfcSE stat pvalue padj svalue_shrink log2FC_shrink
Anogam_AGAP000005 1383.97038265959 2.24379740423139 0.253624771919471 8.84691738606601 8.99699455755394e-19 1.86391163171258e-17 9.5401611670527e-20 2.20357684366257
Anogam_AGAP000007 607.939112939224 1.17073752248381 0.254372729773033 4.60244902638901 4.17551775957054e-06 2.28137394309119e-05 3.03239882298437e-07 1.12781785099004
Anogam_AGAP000008 912.834805633417 1.86097626330393 0.287935115961587 6.46317923775647 1.0252573055826e-10 1.016461994803e-09 8.7613100561347e-12 1.80537334613907
Anogam_AGAP000011 1304.5266279908 1.73553809813567 0.406494055436311 4.26952885269829 1.95886309665274e-05 9.58931818245118e-05 2.88100529460135e-06 1.62398135312533
Anogam_AGAP000022 1369.1168680189 2.02067635515734 0.242174007080729 8.34390271489272 7.18781280689467e-17 1.2757314638115e-15 6.70362045491766e-18 1.98277343298192
Anogam_AGAP000025 198.774776642523 1.66781900535451 0.433362251187947 3.84855626160938 0.000118816010595143 0.000497726770751794 1.93615108195446e-05 1.53933715394486
Anogam_AGAP000028 328.361968084743 2.36128644612654 0.328422564354089 7.1897814048511 6.48951363418843e-13 8.06094696731436e-12 6.77102712351629e-14 2.29463934225172
Anogam_AGAP000029 854.130105723713 1.49888351430683 0.25309492087926 5.92221886199715 3.17626510563046e-09 2.6164789004313e-08 2.3111712516169e-10 1.45552060966285
Anogam_AGAP000044 1598.28112681339 1.37265588367689 0.293992906618968 4.66901021341967 3.02654334221013e-06 1.69405949278125e-05 2.65468813308667e-07 1.31387275983182
Anogam_AGAP000047 74.2173854533529 6.38534682670646 1.01572202908468 6.28651013157668 3.24681836999126e-10 3.04968087214797e-09 8.76102794001767e-11 6.07076867253695
Anogam_AGAP000048 78.553252814505 2.3431439276449 0.431676408560159 5.42801015107676 5.69857994872712e-08 4.0589039538124e-07 9.49804247792744e-09 2.22634765302504
Anogam_AGAP000053 365.773701496582 1.07362762406525 0.287971336275591 3.72824475501889 0.000192818066543863 0.000769184219431153 1.70523712824559e-05 1.02060696467
Anogam_AGAP000062 123.3030428762 1.32295677492358 0.355720341509204 3.71909227712622 0.000199940004498578 0.000794636808168993 2.30292359942302e-05 1.237096847396
Anogam_AGAP000070 95.9990579111127 2.61959756371295 0.496394617891624 5.27724811932767 1.31138272874066e-07 8.96149542399701e-07 2.81977443520324e-08 2.47155555055786
Anogam_AGAP000081 78.4279037306953 1.84182773473497 0.432812131059171 4.25549009041794 2.08591603516643e-05 0.000101606521580751 3.40300631833112e-06 1.71503463686472
Anogam_AGAP000082 596.567005779187 1.85883670575037 0.273064286596757 6.80732265986647 9.94317610516112e-12 1.09439925235891e-10 1.06482246679947e-12 1.80840123047679
Anogam_AGAP000085 12.6179184919495 6.02789197140365 1.54390862346217 3.90430617447183 9.44960893444868e-05 0.000404179935120758 8.60835071969189e-05 5.20118897023914
Anogam_AGAP000091 234.790159432427 3.27822204466719 0.367644882663728 8.91681674151211 4.79882841349138e-19 1.00655852915011e-17 8.10502125904255e-20 3.20918943234198
Anogam_AGAP000099 483.724374044673 1.06904872618723 0.280318222654344 3.81369686231729 0.000136903377873301 0.000566649233978396 1.12852776342967e-05 1.01855724685076
Anogam_AGAP000102 434.343357234501 2.03886981686528 0.290357045941147 7.02194021246015 2.18808171592366e-12 2.60536437043517e-11 1.59891144518048e-13 1.98346962919661
Anogam_AGAP000110 375.919417738748 1.15042910846824 0.26270853628602 4.37910821145043 1.19165952300347e-05 6.0444416769212e-05 9.89005230066958e-07 1.10481438987339
Anogam_AGAP000112 461.039977517213 2.61211013954747 0.413973729627232 6.30984517278325 2.79314750292924e-10 2.64038674936085e-09 5.46327939634063e-11 2.51177754094059
Anogam_AGAP000114 86.5797491929755 4.08718642943303 0.527210581362499 7.75247419896296 9.01191314704222e-15 1.31965754257557e-13 1.87641628745885e-15 3.9656604035034
Anogam_AGAP000126 367.840873537153 1.15301319980658 0.278129571490963 4.14559729706428 3.38929041315114e-05 0.000158795530167828 2.69894068286773e-06 1.10199635575015
Anogam_AGAP000139 76.8196145092427 2.37609230418448 0.478403016560402 4.96671680974754 6.80959146085899e-07 4.19172136504469e-06 1.49656128556525e-07 2.23234318041477
Anogam_AGAP000141 349.314054908575 1.87071509593719 0.304512135699951 6.14331869446571 8.08149066877627e-10 7.23345573299428e-09 9.65636972295731e-11 1.80886632796971
Anogam_AGAP000147 159.250368017266 2.06777774437381 0.386595436940923 5.34868637026823 8.85949145675686e-08 6.17597192739502e-07 1.23032623153771e-08 1.97015061859712
Anogam_AGAP000149 520.582366287472 2.15947830467886 0.349523312672336 6.17835270605621 6.47738800546832e-10 5.8509923224874e-09 1.02107252306114e-10 2.08058954041795
Anogam_AGAP000155 155.980885932748 1.96751100994651 0.34742050779294 5.66319766914605 1.48577836020419e-08 1.13508459559864e-07 1.84236823893378e-09 1.88768822671628
Anogam_AGAP000159 476.097152961248 1.87321882960086 0.301988901107675 6.20293932237249 5.54182108159186e-10 5.03677616883615e-09 6.55130186605898e-11 1.81261311301382
Anogam_AGAP000162 2520.81487490327 1.87656716823378 0.277950230125642 6.7514503131928 1.4637451517549e-11 1.57720547064779e-10 1.64763789604257e-12 1.82522512952194
Anogam_AGAP000170 1091.75537396127 1.06569848960507 0.220261997482447 4.83832209725602 1.30939823311589e-06 7.71094960189232e-06 8.05779827945409e-08 1.0343503540233
Anogam_AGAP000173 921.050792061282 2.05288877404622 0.268660627640009 7.64119697061446 2.15211529828685e-14 3.04917489617853e-13 2.07547622645297e-15 2.00613904907638
Anogam_AGAP000179 1347.50950348782 4.11401627759189 0.362034732453169 11.3635955581252 6.34771558828245e-30 3.22529617908076e-28 6.58175882019046e-31 4.05779219296256
Anogam_AGAP000180 3321.63974301651 3.26058101830383 0.419454372715642 7.77338664321006 7.64150386248688e-15 1.12597559413744e-13 1.53668993714383e-15 3.17300838427562
Anogam_AGAP000181 457.91855159889 4.17833377595432 0.370129612686053 11.2888394571618 1.48990886106187e-29 7.31793568924891e-28 3.42627282127058e-30 4.11938518810637
Anogam_AGAP000185 169.559379550561 2.95013041634951 0.519092006144445 5.68325148803889 1.32157709051897e-08 1.01755393488162e-07 3.16620046491392e-09 2.79923122116772
