baseMean log2FoldChange lfcSE stat pvalue padj svalue_shrink log2FC_shrink
Anogam_AGAP000008 547.197885832757 1.45973166839237 0.265026391744404 5.50787285290502 3.63195570380841e-08 3.7487808227604e-07 5.740246980536e-09 1.41166982013418
Anogam_AGAP000013 177.341758068564 1.55123619532096 0.34930526247356 4.44091848011703 8.95757261446006e-06 4.8731434659394e-05 1.45986209510857e-06 1.46756187579805
Anogam_AGAP000029 605.210445374086 1.38776618417622 0.341317006841161 4.06591572163307 4.78442247449553e-05 0.000215443294297851 6.45578186635404e-06 1.30892452296775
Anogam_AGAP000058 51.1038373092217 1.66201494897495 0.374238439851598 4.44105888650566 8.95172920351277e-06 4.8731434659394e-05 1.67576837300105e-06 1.56593393154461
Anogam_AGAP000081 60.6847771378544 1.91317863153389 0.479795829881539 3.98748491000068 6.67774502831344e-05 0.000289748417559404 1.50213036066969e-05 1.75832128237439
Anogam_AGAP000092 4864.88084326102 1.72620342214896 0.337869367666259 5.10908530735487 3.23722176132989e-07 2.57300542974688e-06 6.06208238643853e-08 1.64944562225474
Anogam_AGAP000093 214.076266767846 2.51228861321914 0.429098588297829 5.85480512342169 4.77569667274559e-09 6.29953204217643e-08 1.83861663051728e-09 2.40099549905082
Anogam_AGAP000099 442.873300781279 1.47426333504262 0.31177519317686 4.72861012455959 2.26062001323313e-06 1.4388017600134e-05 3.28877190628616e-07 1.40790016542278
Anogam_AGAP000124 90.134025707411 1.73278218645277 0.356296167642283 4.86331974300791 1.154331495577e-06 7.99960298203392e-06 2.09437918267091e-07 1.64632742808679
Anogam_AGAP000126 780.21823111809 3.01963660925262 0.291375306867344 10.3633922919467 3.63825017933097e-25 1.31434721801057e-22 1.5696185914332e-25 2.9741428808586
Anogam_AGAP000141 239.83372631115 1.70087728952631 0.280617502831821 6.06119458822807 1.35114248793387e-09 2.10158954477381e-08 2.27713853410606e-10 1.64755906677313
Anogam_AGAP000145 355.602305803697 1.04933904886009 0.246898979879161 4.25007446111629 2.1369946308307e-05 0.000105057958168011 2.12166198983284e-06 1.01018214543138
Anogam_AGAP000147 91.7455041307228 1.60088968163703 0.317576732087581 5.04095394871543 4.63216936351954e-07 3.55312771931886e-06 7.66644434696096e-08 1.53180217365137
Anogam_AGAP000149 296.686900753893 1.67751646726431 0.319927344759701 5.24342946841354 1.57619078144777e-07 1.38228352086403e-06 2.84335642370645e-08 1.60781331011018
Anogam_AGAP000155 75.4388715521674 1.16976972904783 0.301880632907078 3.87494128981736 0.000106650409459479 0.000438625756715646 1.18014450995032e-05 1.10937079383615
Anogam_AGAP000158 176.005684562902 1.50297802696976 0.328830607426934 4.57067557892622 4.86154403412934e-06 2.84900217887046e-05 7.87216310638627e-07 1.42874154006389
Anogam_AGAP000161 381.476945008878 2.44693381916742 0.347384646921591 7.04387439356156 1.86966700383296e-12 6.19479312897199e-11 6.34689465396672e-13 2.37402694161687
Anogam_AGAP000162 2053.38684165146 2.03426264754695 0.355250757215824 5.7262725166018 1.02661263326972e-08 1.22569668230145e-07 2.928589139558e-09 1.95190121390584
Anogam_AGAP000163 1379.48247001502 3.04560286410083 0.519426489411094 5.86339535273571 4.53496700608791e-09 6.01742837691689e-08 2.34039291081673e-09 2.90198466836885
Anogam_AGAP000181 176.573038285357 3.17006683063853 0.697527299234282 4.5447208075132 5.50081164891014e-06 3.17053986907589e-05 3.0556967265156e-06 2.9032440806685
Anogam_AGAP000184 14424.2436317053 2.23775957736766 0.456718292403403 4.89964955332056 9.60077473100797e-07 6.80500482357964e-06 2.50024041073512e-07 2.11230281876446
Anogam_AGAP000185 67.9974557533035 1.87411206340822 0.388380244450001 4.82545672749709 1.39682791704951e-06 9.45200957283228e-06 3.08421663351789e-07 1.77251823408711
Anogam_AGAP000187 303.08325053086 1.04598378827877 0.244704068603996 4.27448466323413 1.91579891374666e-05 9.57386525437251e-05 1.91381484538518e-06 1.0075288750186
Anogam_AGAP000189 43.5273540428912 1.71231238898669 0.461437734097004 3.710820035855 0.000206588936807483 0.000786133028646619 4.20454339163123e-05 1.56633612904886
Anogam_AGAP000191 186.673203470804 3.47401383441968 0.636645030134257 5.45675167477092 4.84923778163257e-08 4.80589503685869e-07 2.72320624358007e-08 3.26862789998708
Anogam_AGAP000218 185.499449779933 2.83059081354645 0.577629380572213 4.90035809941385 9.56621304021844e-07 6.79340645766686e-06 4.52299962807006e-07 2.63700484473342
Anogam_AGAP000235 759.083800675622 2.01324542573064 0.327837455368963 6.14098661626337 8.20104944254545e-10 1.33493535911434e-08 1.95816367479603e-10 1.94306013351365
Anogam_AGAP000236 207.718502595341 2.67500765328994 0.435160875765369 6.14716947746069 7.88778373680292e-10 1.29145160918795e-08 2.88673364036077e-10 2.56408955023575
Anogam_AGAP000245 187.363847789657 1.25884509011963 0.286079284221226 4.40033640865154 1.08083185034721e-05 5.73660468816986e-05 1.34850725109378e-06 1.20374781459503
Anogam_AGAP000248 55.0675788915873 2.57370034327314 0.579441303772907 4.44169293164821 8.92538694566986e-06 4.86874858278406e-05 3.32783563311411e-06 2.36838520366625
Anogam_AGAP000249 6397.79488593218 3.0560198634442 0.386624748756691 7.90435654538867 2.69321133475377e-15 1.57089967384935e-13 8.04446802330228e-16 2.98310799563787
Anogam_AGAP000268 378.636727890952 2.99915808726029 0.648078957089414 4.62776650044278 3.69630423821441e-06 2.2399843703335e-05 1.94432514795076e-06 2.76195192146624
Anogam_AGAP000300 313.297369373362 1.78745466426641 0.276730026234326 6.4592002848034 1.05257729366816e-10 2.18292835403514e-09 1.9433240344703e-11 1.7359134930188
Anogam_AGAP000301 46.8287461062678 1.95265975021753 0.390409229968312 5.00157168511621 5.6864815022783e-07 4.27168803579441e-06 1.24066798803364e-07 1.85106609828659
Anogam_AGAP000305 12608.8017957553 3.16873185570888 0.562680997617362 5.63148901264958 1.78660359849987e-08 1.99881855140859e-07 8.55589171302708e-09 3.0099510330785
Anogam_AGAP000306 93.3837256791434 1.52687913486038 0.348947700274678 4.37566756754229 1.21061398450803e-05 6.34128438377242e-05 1.98319860378522e-06 1.4432327034788
Anogam_AGAP000307 44.1359106772208 2.87196848588762 0.550129607463649 5.2205306657257 1.78411160359463e-07 1.54407000376014e-06 8.01028165141051e-08 2.69007220074183
Anogam_AGAP000308 553.598562509494 1.47078036865405 0.333028095364393 4.41638525135469 1.00365140956166e-05 5.3779388209e-05 1.49144858209885e-06 1.39530482275845
Anogam_AGAP000312 259.84201957986 1.4238119860065 0.329336120478162 4.3232791591134 1.53727013549709e-05 7.84680412371553e-05 2.2684062076355e-06 1.34967238241824
Anogam_AGAP000319 78.3837279613456 2.22811831530421 0.366059849064363 6.08675964053203 1.15218742361825e-09 1.80972608093981e-08 3.12148859902686e-10 2.14296274772985
Anogam_AGAP000321 1767.15606134104 2.34623187692259 0.392643349476952 5.97547845913613 2.29415853871317e-09 3.34534915039698e-08 7.29477384921689e-10 2.2515727422793
Anogam_AGAP000322 530.172838822489 2.61438304689658 0.3811741311112 6.85876305213873 6.94593357829141e-12 1.9467346085398e-10 2.28974708896372e-12 2.52912447754277
Anogam_AGAP000323 159.977828765568 1.98795913249411 0.36470883127192 5.45081161199501 5.01404628993158e-08 4.9429845423366e-07 1.26239587540814e-08 1.90011101112092
Anogam_AGAP000332 110.654122586086 1.74286053305474 0.365666386776672 4.76625852438328 1.87678419014499e-06 1.23056827549378e-05 3.75757402019522e-07 1.65188016432094
Anogam_AGAP000336 44.7869782399832 1.45613808933772 0.367264204728399 3.96482442500642 7.34499893221536e-05 0.000314918235229249 1.05303129100586e-05 1.36353093949953
Anogam_AGAP000343 89.1054164402704 2.47242405172437 0.462302573349413 5.34806465344004 8.88997109853168e-08 8.29656552770469e-07 3.17122477022366e-08 2.34139600861514
Anogam_AGAP000349 367.550629538267 1.91872455606962 0.410495091055969 4.67417174498687 2.95142276391951e-06 1.82310995770185e-05 7.00845546733461e-07 1.80619255952621
Anogam_AGAP000351 194.697272785478 3.13352993889553 0.376313576689484 8.32691173797637 8.2978562430745e-17 6.78304321651031e-15 2.98051796401884e-17 3.05873186047291
Anogam_AGAP000358 626.091607931488 1.56284198805307 0.358653954407539 4.35752058173937 1.31544131982753e-05 6.8201978429391e-05 2.20695468679722e-06 1.47499209791211
Anogam_AGAP000378 256.127063441653 1.83022143226698 0.307030565350803 5.96103984036844 2.50637844349464e-09 3.61247518516043e-08 5.20897252160486e-10 1.76695891038849
Anogam_AGAP000385 767.967955782036 2.16007004456937 0.362694789650308 5.95561366252876 2.59097748708435e-09 3.72004575357149e-08 7.45371511023859e-10 2.07500940361244
Anogam_AGAP000397 75.2614890520005 2.13781778584602 0.554388779419028 3.85617073290399 0.000115177058843268 0.000469384236530478 3.38139687277808e-05 1.93448360898696
Anogam_AGAP000407 611.186374100773 1.72761129867883 0.37930044231265 4.55473051427342 5.24527778264535e-06 3.04204380568852e-05 1.09054143950982e-06 1.62992726971729
Anogam_AGAP000410 54.2382314355906 1.92631398367548 0.417593491823976 4.61289273274273 3.97103263942223e-06 2.39223208869766e-05 9.92372844360016e-07 1.80952822834729
Anogam_AGAP000414 99.5643338682491 1.54376038904475 0.368321940735369 4.19133431465574 2.77318670162045e-05 0.000132835405780357 4.33797447194489e-06 1.45068379475399
Anogam_AGAP000433 90.2228435515966 1.57404561192164 0.404356838527295 3.89271421167121 9.9128903780907e-05 0.000412233417542658 1.64337981337124e-05 1.46196568905794
Anogam_AGAP000440 2556.73575628101 1.79594226536458 0.424184871228674 4.2338668518812 2.29706978569836e-05 0.000112091000130876 4.62776601318567e-06 1.67524746047016
Anogam_AGAP000452 194.758866104712 1.13477237188424 0.299700240740887 3.78635789240269 0.000152871455097474 0.000601337346553078 1.61243637484804e-05 1.07579414248597
Anogam_AGAP000453 97.8082102790272 1.61100168388075 0.389415262934786 4.13697622363234 3.51912558210433e-05 0.000164348154270168 5.91173900525244e-06 1.50706543516342
Anogam_AGAP000467 505.825518756042 1.35535183754474 0.360440497809089 3.76026513608529 0.000169733365658673 0.000659557238727092 2.29199892651253e-05 1.26721278945863
Anogam_AGAP000482 665.803292706523 1.89763685113101 0.413788039861204 4.58601184260312 4.51792985756834e-06 2.6827304599633e-05 1.09946902978303e-06 1.7833275690489
Anogam_AGAP000483 654.639226027772 2.72890878326421 0.422106115752596 6.46498281219804 1.0131032385009e-10 2.12069965756477e-09 4.51073142096955e-11 2.62605070451261
Anogam_AGAP000489 139.17611687735 1.65033388751275 0.446619028756976 3.69517145766479 0.000219738452638076 0.000828011753396303 4.25958318359353e-05 1.51346120862787
Anogam_AGAP000494 2779.26874997899 1.20792661700835 0.274572322936222 4.39930217325266 1.08599523571129e-05 5.75582614516363e-05 1.27782208182708e-06 1.15813781839143
Anogam_AGAP000498 685.900410917357 1.14419692804495 0.226124133267441 5.06003897731557 4.19170782527868e-07 3.24191546514474e-06 4.48004406152996e-08 1.11042602620049
Anogam_AGAP000500 4476.93866019248 2.27093296001346 0.490814367943382 4.6268673216091 3.71238165585344e-06 2.24729525210285e-05 1.18734820812348e-06 2.12148456483141
Anogam_AGAP000515 425.816153893799 2.02996588402137 0.224921674236712 9.0252124029852 1.79347109219022e-19 2.33547473970212e-17 5.04825679727817e-20 1.9972432417217
Anogam_AGAP000516 317.073938591809 1.93200033459297 0.333228581714102 5.79782299782001 6.71813029509805e-09 8.53019741210919e-08 1.68127509790798e-09 1.85829776198233
Anogam_AGAP000529 813.758983064866 1.94377649379343 0.474947742682244 4.09261128985695 4.26542414263443e-05 0.00019457631353712 1.01111581732504e-05 1.79300889141886
Anogam_AGAP000533 43.9941096848079 2.09214385474839 0.527551103724747 3.96576528790654 7.31608292975794e-05 0.000313918822721683 1.96389264485258e-05 1.90822989951773
