baseMean log2FoldChange lfcSE stat pvalue padj svalue_shrink log2FC_shrink
Anogam_AGAP001112 44.0644381544754 -4.66475953333286 1.06367531461892 -4.38551075616915 1.15713939674625e-05 0.000540139931251827 3.3662036672323e-05 -4.11719074047203
Anogam_AGAP001165 87.9927383369449 -10.0368442756322 1.55990421751409 -6.43426959356981 1.24068480561184e-10 3.2372329697195e-08 8.62543411438177e-05 -10.9003745887329
Anogam_AGAP001212 1851.83172378591 -1.9433412556629 0.448497364573969 -4.33300484944631 1.47087868653306e-05 0.000659368348641429 2.87338237521135e-05 -1.72617386306161
Anogam_AGAP001376 1897.19072139656 -1.93733831281563 0.436377414330067 -4.43959345556384 9.01289706942985e-06 0.000443068795065305 1.69946786652352e-05 -1.73248617649621
Anogam_AGAP001416 62.1163663649865 -9.53357481522769 1.53377294390987 -6.21576671637252 5.10746371356117e-10 1.10582022870635e-07 0.000118252935049511 -10.3252888348436
Anogam_AGAP001430 1285.46314547002 -1.70559091581666 0.382988543500392 -4.4533732007441 8.45316372941959e-06 0.00042166369662046 1.3404327887139e-05 -1.53133593057004
Anogam_AGAP001620 130.290045651066 -10.6031105772164 1.45471959516142 -7.28876589858534 3.12807035396436e-13 1.87242611305537e-10 3.86893652318562e-05 -11.6277947261133
Anogam_AGAP001672 30.7569196752979 -8.51895609645328 1.54348812756375 -5.51928838604004 3.40375206615966e-08 4.22397329576106e-06 0.0003390801065683 -9.09770777152525
Anogam_AGAP001676 62.1249432142033 -4.71067220894694 1.02780155614195 -4.58325070710085 4.57802599739663e-06 0.000267735589364989 1.05464297724205e-05 -4.20789610365153
Anogam_AGAP001680 141.505498141622 -7.51186967773011 1.24201278925267 -6.04814196981824 1.46525813458621e-09 2.71099395955441e-07 1.56501882386248e-09 -7.0715823485141
Anogam_AGAP001717 37.2965196614287 -5.56206104682314 1.2923965273139 -4.30367996916802 1.67984270697349e-05 0.000736813766644925 4.69807231226176e-05 -4.88192196025613
Anogam_AGAP001728 52.8695641162619 -9.30083952946271 1.48923334936966 -6.24538762404121 4.22750385989982e-10 9.35197375616099e-08 0.00012455421753142 -10.0814852980235
Anogam_AGAP001767 33.4869584876227 -6.76790350054687 1.33098684450523 -5.08487632953482 3.67865686087264e-07 3.14571531228908e-05 1.24585028262929e-07 -6.23158965584395
Anogam_AGAP001768 187.269183596586 -2.91468225159293 0.653930847317171 -4.45717198317033 8.30479743089944e-06 0.000420445863964342 2.09811693815116e-05 -2.59233472905786
Anogam_AGAP001890 2170.75350631292 -2.89410321064118 0.621693214152347 -4.65519511032008 3.23674049198051e-06 0.000204578082275737 6.46823505375372e-06 -2.59610681675063
Anogam_AGAP001952 606.241076454105 -6.95667781335164 1.02685620720097 -6.7747341493064 1.24635227998383e-11 3.96340025034857e-09 3.53535532933827e-11 -6.63033502015973
Anogam_AGAP002033 444.691788831526 -7.60114570543836 1.08509368900631 -7.00505936256917 2.46881135401223e-12 1.25613121692142e-09 4.41323028628501e-12 -7.2686553405487
Anogam_AGAP002105 36.0173735151933 -8.74627835731718 1.56778613713669 -5.5787445431115 2.42260714364648e-08 3.12056332832235e-06 0.000263768890094134 -9.35454695881328
Anogam_AGAP002309 28.0172990049937 -8.38415413854054 1.61735645687319 -5.18386290351201 2.17336717511238e-07 2.06693311906015e-05 0.00045939708592903 -8.86672801679317
Anogam_AGAP002510 53.3635791120636 -5.24559577977958 1.09647583000372 -4.78405053375576 1.71797462094559e-06 0.000118122363126637 4.19768583590771e-06 -4.7378614846721
Anogam_AGAP002515 91.1593422456568 -7.63036449744649 1.24070261786423 -6.15003497822996 7.74658609627806e-10 1.57658520231451e-07 4.06110382021213e-10 -7.21021968002532
Anogam_AGAP002540 65.4657417672898 -9.60979061805941 1.58804608251926 -6.05132982212616 1.43654987749166e-09 2.70709843580651e-07 0.00012882067065215 -10.3755710928578
Anogam_AGAP002595 62.7262768913135 -9.5480822960491 1.60818088691571 -5.93719423836775 2.89941089165498e-09 4.68323892594937e-07 0.000150971593826901 -10.2866985004162
Anogam_AGAP002629 33.163778683597 -7.65803047674217 1.56505591590612 -4.89313538188085 9.9242088188564e-07 7.42564330446197e-05 3.07648455153171e-06 -6.9550655144799
Anogam_AGAP002752 3652.67031893343 -1.20104771764974 0.25672666299466 -4.67831312743206 2.89244608386202e-06 0.000186288173097341 2.25277174953759e-06 -1.10194924083026
Anogam_AGAP002770 36.2735932308937 -8.75708920832544 1.6430197445172 -5.32987460287564 9.82806023962057e-08 1.02051368365693e-05 0.000379594947131744 -9.30254542635734
Anogam_AGAP003071 112.611292734112 -10.3927172343872 1.51422143338021 -6.86340650401931 6.72375376590343e-12 2.5244024562342e-09 5.65617427708812e-05 -11.3467731681598
Anogam_AGAP003116 48.9295949648977 -7.30393684035541 1.46034719239658 -5.00150709254893 5.68838739447017e-07 4.5940500100102e-05 2.85597851235428e-07 -6.68978071662547
Anogam_AGAP003340 750.22670642665 -3.94326855650703 0.762884644660674 -5.16889228811385 2.35485561572639e-07 2.21879729126219e-05 5.30468495838469e-07 -3.62062113685564
Anogam_AGAP003747 150.00463403472 -10.8066529985404 1.52577802069182 -7.08271639254603 1.41355782622635e-12 7.57071812614704e-10 3.9562423753253e-05 -11.8187155373824
Anogam_AGAP003805 117.91445095961 -5.56411597475817 1.08038898534219 -5.15010431450841 2.60341621763914e-07 2.40839667551781e-05 7.01713732331159e-07 -5.10135249229011
Anogam_AGAP003895 136.339831243041 -4.11301603316395 0.798297698303551 -5.15223336094348 2.57402449417133e-07 2.40305259198967e-05 5.73009279147381e-07 -3.77573220748718
Anogam_AGAP004312 173.914194989163 -3.53042797675828 0.826278447344382 -4.27268554335999 1.93132729207087e-05 0.000825166939388624 6.12685486662922e-05 -3.09256644538008
Anogam_AGAP004622 124.587084436254 -4.13999289412545 0.703536768713659 -5.88454374843121 3.99153550857933e-09 6.06236796049303e-07 4.79811668386724e-09 -3.88564373963231
Anogam_AGAP004914 79.9759504720476 -9.89897431059299 1.63190985168303 -6.0658830513119 1.31230598656334e-09 2.56808186909011e-07 0.000114327891434078 -10.6817032132905
Anogam_AGAP005094 11.2741937417602 -7.07253854394569 1.61011048069209 -4.39257965758078 1.12013568205904e-05 0.000525276529983079 0.00157176839825759 -7.20215617733762
Anogam_AGAP005179 26.2308599344671 -6.45040116118789 1.51492007018669 -4.25791517858296 2.06342205942556e-05 0.000871260700278611 2.7270821906158e-05 -5.68009809608224
Anogam_AGAP005420 94.4465895166705 -4.40101423070159 0.825314863555853 -5.33252752984468 9.685507993089e-08 1.02051368365693e-05 1.7921918139069e-07 -4.06610715921307
Anogam_AGAP005463 37.2292921934093 -8.79479258159069 1.64986019936686 -5.33062897387653 9.78731956421221e-08 1.02051368365693e-05 0.000368251453458973 -9.3420916699394
Anogam_AGAP005492 36.1527192071014 -6.27802729832182 1.39086040979137 -4.51377237724635 6.3684567458496e-06 0.000343128127299835 9.6323284280857e-06 -5.6003854878989
Anogam_AGAP005519 135.277290417765 -6.78526003097543 0.989166072839685 -6.85957617965646 6.90651411097186e-12 2.5244024562342e-09 1.13762905443439e-11 -6.48092235322682
