gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	svalue_shrink	log2FC_shrink	comparison	samples_i	samples_j	gene_name	is_signif_pos	is_signif_neg	is_signif_any
Anogam_AGAP029197	7.70954846992648	-0.408768089460718	2.21415328148476	-0.184615985207043	0.85353024708642	0.908868923736939	0.189180372425428	-0.0521448092630403	Fem.Oecy-Bulk	Oecy	Bulk		FALSE	FALSE	FALSE
Anogam_AGAP001084	686.567372652625	2.8065514312	0.554505426863266	5.06135971847226	4.16276969235993e-07	3.22175934932542e-06	1.71991256271684e-07	2.63014779516843	Mal.Oecy-Bulk	Oecy	Bulk	Fatty acyl-CoA reductase	TRUE	FALSE	TRUE
Anogam_AGAP001343	48.2174374635055	-1.35436239919801	0.758248182733537	-1.78617295766598	0.074071258177143	0.128788079541348	0.0129105388353119	-0.981267870156794	Mal.Oecy-Bulk	Oecy	Bulk	fatty acyl-CoA reductase 2	FALSE	FALSE	FALSE
Anogam_AGAP002279	74.3379214245741	-2.55122499518922	0.929401095117692	-2.74502043153516	0.00605071304974377	0.0150048572728256	0.00314972172056907	-1.96694731207643	Mal.Oecy-Bulk	Oecy	Bulk	Fatty acyl-CoA reductase	FALSE	FALSE	FALSE
Anogam_AGAP003606	173.764783503471	-3.97982527387579	0.737124884203801	-5.39911941539535	6.69687887482202e-08	6.38283800162824e-07	5.39292289210179e-08	-3.71947488280506	Mal.Oecy-Bulk	Oecy	Bulk	Fatty acyl-CoA reductase	FALSE	TRUE	TRUE
Anogam_AGAP003611	34.5514640602475	-1.31553620459986	0.707415283183711	-1.85963780522144	0.0629367868275014	0.112412930730652	0.0103563706193126	-0.990413703218652	Mal.Oecy-Bulk	Oecy	Bulk	Fatty acyl-CoA reductase	FALSE	FALSE	FALSE
Anogam_AGAP004784	2693.29418431079	2.72993538051672	0.429292438950983	6.35915085573737	2.02872094056799e-10	3.85732526543648e-09	8.54061899054059e-11	2.62338884748791	Mal.Oecy-Bulk	Oecy	Bulk	fatty acyl-CoA reductase 2	TRUE	FALSE	TRUE
Anogam_AGAP004787	11632.5232330477	3.01647566684835	0.555778424335603	5.42747889224802	5.71556236530254e-08	5.53228893077123e-07	2.7831138043769e-08	2.8409773229262	Mal.Oecy-Bulk	Oecy	Bulk	Fatty acyl-CoA reductase	TRUE	FALSE	TRUE
Anogam_AGAP005515	59.7909318414958	-3.40241188166322	0.971444204274314	-3.5024264560875	0.00046104104221987	0.00157510635503976	0.00037504695487299	-2.86310947611571	Mal.Oecy-Bulk	Oecy	Bulk	Fatty acyl-CoA reductase	FALSE	FALSE	FALSE
Anogam_AGAP005984	7764.55863189449	2.48312608608287	0.505014577233802	4.91693942714307	8.79077371683892e-07	6.29059903226064e-06	2.77332507356899e-07	2.33762324336739	Mal.Oecy-Bulk	Oecy	Bulk	fatty acyl-CoA reductase 2	TRUE	FALSE	TRUE
Anogam_AGAP005985	1809.35698290254	3.06678480084509	0.511263458336677	5.99844317218063	1.99218212220517e-09	2.94721896784356e-08	9.79987505692609e-10	2.92452711927073	Mal.Oecy-Bulk	Oecy	Bulk	fatty acyl-CoA reductase 2	TRUE	FALSE	TRUE
Anogam_AGAP005986	7353.16109851324	3.34599473076896	0.568029712477792	5.89052765598027	3.84964436397731e-09	5.20581755769206e-08	2.09641655995058e-09	3.18862376114149	Mal.Oecy-Bulk	Oecy	Bulk	fatty acyl-CoA reductase 2	TRUE	FALSE	TRUE
Anogam_AGAP009690	13.617260457691	-1.47121502334686	1.1012908201185	-1.33590056002515	0.181581777893084	0.270495953352598	0.0360175758586301	-0.769616082896125	Mal.Oecy-Bulk	Oecy	Bulk	Fatty acyl-CoA reductase (Fragment)	FALSE	FALSE	FALSE
Anogam_AGAP010785	0.275191643954342	-1.27258519168988	4.03560003957288	-0.315339770842248	0.752503691420262	NA	0.121135192856275	-0.149434987282665	Mal.Oecy-Bulk	Oecy	Bulk	fatty acyl CoA reductase 2	FALSE	FALSE	FALSE
Anogam_AGAP010850	45.4738145326686	-3.38398675061915	1.23917980259996	-2.73082787785849	0.00631754566342016	0.0155768810842453	0.00708779808958054	-2.40582660197545	Mal.Oecy-Bulk	Oecy	Bulk	Fatty acyl-CoA reductase (Fragment)	FALSE	FALSE	FALSE
Anogam_AGAP011736	10.3019069596369	-2.37970062000183	1.61878867938146	-1.47005019883826	0.141548158826252	0.220964291984276	0.0499493909819251	-0.759029789501059	Mal.Oecy-Bulk	Oecy	Bulk	Fatty acyl-CoA reductase	FALSE	FALSE	FALSE
Anogam_AGAP029196	239.918406129557	1.40694319126665	0.414360404312649	3.39545761762764	0.000685139804289112	0.0022253134188613	0.00010094364664106	1.2900065708475	Mal.Oecy-Bulk	Oecy	Bulk		FALSE	FALSE	FALSE
Anogam_AGAP029197	1.72796190649252	-0.589661290353676	2.68521546581657	-0.219595521424706	0.826186179666241	NA	0.136632115290547	-0.0743563348185942	Mal.Oecy-Bulk	Oecy	Bulk		FALSE	FALSE	FALSE
Anogam_AGAP001084	273.655100276987	0.455080129733439	0.535738367129411	0.849444724617811	0.395633875423351	0.522547016637587	0.0439762607530978	0.363476399031131	Bulk.Fem-Mal	Fem	Mal	Fatty acyl-CoA reductase	FALSE	FALSE	FALSE
Anogam_AGAP001343	122.75142632978	0.709762875097109	0.436723137976456	1.62520098748551	0.104119740106261	0.185438131831171	0.0104803074757736	0.615750990024326	Bulk.Fem-Mal	Fem	Mal	fatty acyl-CoA reductase 2	FALSE	FALSE	FALSE
Anogam_AGAP002279	147.018564020292	-0.46323362581493	0.48810572407148	-0.949043625120637	0.342598424765732	0.469053453093896	0.0367031230765368	-0.379867944000653	Bulk.Fem-Mal	Fem	Mal	Fatty acyl-CoA reductase	FALSE	FALSE	FALSE
Anogam_AGAP003606	452.381687009081	0.0564217735626917	0.360139057476401	0.156666633044623	0.875507585263968	0.918682874763366	0.127840293403548	0.0515016982442438	Bulk.Fem-Mal	Fem	Mal	Fatty acyl-CoA reductase	FALSE	FALSE	FALSE
