UniqueCount	AmbigCount
2013	0
473	0
729	0
8	0
6	0
538	0
22	0
461	0
606	0
772	0
1588	0
0	0
123	0
0	0
664	0
57	0
579	0
3439	52
2454	0
2	0
5	0
0	0
28	9
223	0
860	0
334	0
278	0
58	0
189	0
9	0
14	0
673	0
292	0
377	0
1	0
309	0
534	0
381	0
539	0
102	0
1	0
0	1
59	0
574	0
0	0
5	0
15	0
183	0
18	0
324	0
190	0
74	0
17	0
1389	0
30	0
576	0
0	0
163	0
1	0
198	0
1410	3
10	0
25	0
99	0
709	0
118	0
1358	0
4	0
0	0
925	0
1580	0
1631	0
347	0
220	0
1020	0
303	0
642	0
9370	0
269	0
167	0
8	0
617	0
54	0
102	0
236	0
403	0
1852	0
72	0
10	0
103	0
975	0
6	0
15	0
152	0
52	0
942	0
21	0
153	0
496	0
10	0
11	0
277	0
188	1212
319	0
2149	0
344	0
37	0
153	0
362	0
140	0
118	0
27	0
1767	0
259	0
118	1212
5399	0
2	65
28	94
528	65
0	94
198	0
49	0
467	0
310	0
150	0
956	0
14	0
181	0
1310	0
143	0
47	0
47	0
357	0
48	0
402	39
89	0
3182	0
31	0
14	0
1059	0
0	0
0	0
3	0
24	171
1693	0
156	0
2550	0
193	0
49	0
65	0
12	0
88	0
92	0
1	0
9	0
508	0
9	0
0	0
76	59
18	0
23	0
1222	0
2377	0
96	99
162	0
63	0
553	0
177	0
158	0
94	0
522	0
72	0
226	0
1151	0
97	0
170	0
6	0
2104	0
348	0
951	0
505	0
29	0
13	0
49	0
888	0
34	0
74	0
114	0
153	0
108	0
658	0
705	0
999	0
57	0
409	0
23	0
3	0
177	0
214	0
3	0
0	0
36	0
0	0
17	0
366	0
67	0
1074	127
237	0
501	0
380	0
3990	0
4298	0
49	0
470	0
933	0
63	0
237	0
0	0
0	1
8	0
34	0
0	0
0	0
144	0
40	0
4	0
75	0
185	0
3269	0
89	0
246	0
12	0
4	0
96	0
96	0
45	0
767	0
2	0
272	0
86	0
157	3
681	5
2436	2
1192	4
2599	0
315	6
91	33
10	33
22	0
601	0
371	0
22	0
52	3
11	0
50	0
251	0
101	0
319	0
48618	0
659	0
399	0
908	0
9	0
1097	0
41	0
7	1
99	0
564	0
165	0
1595	0
245	0
429	0
0	0
309	0
250	0
84	0
48	0
29	0
0	0
104	0
385	0
1791	0
4	0
38	206
57	206
68	12
32	0
233	0
37	0
0	0
7	0
34	0
4	4
0	4
0	0
18	8
16	0
78710	8
2971	0
0	0
11	1
2779	39
55	0
24	0
61	0
140	0
299	0
2	0
2	0
313	0
899	0
1833	0
250	0
4455	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
3	0
29	0
364	0
236	0
535	0
67	0
377	0
263	0
70	0
61	0
69	0
133	56
83	64
191	0
220	0
37	0
249	0
11	0
13	0
616	0
3	59
1	5
7	0
1	0
2	5
23	59
6	5
312	0
215	4
236	0
398	0
210	0
51	0
127	0
24	0
103	0
37	0
418	0
93	0
4	0
462	0
70	0
284	0
12	0
2225	0
0	0
0	0
96	0
84	0
41	7
12	20
88	0
186	0
300	0
13	0
95	21
50	0
2	0
3	0
5	1
233	1
1233	2
285	0
281	0
67	0
0	0
96	0
9	21
0	0
13	0
2	0
101	0
78	0
382	0
18	0
15	0
0	0
315	0
321	0
46	0
332	0
326	0
376	0
1575	0
1163	0
0	0
2457	0
259	0
25	0
30	31
0	0
47	0
6	26
984	0
72	0
119	0
155	0
38	0
149	0
69	0
46	0
22	0
67	0
919	0
502	0
2154	0
230	0
56	0
19	0
16	0
216	0
85	0
299	0
279	0
53	0
238	0
968	0
948	0
120	0
4362	0
72	0
63	0
186	0
58	0
536	0
114	0
2070	0
206	0
610	1
4656	0
70	0
64	0
41	0
27	0
9	0
54	0
299	0
312	0
84	0
9	0
1	0
214	0
144	0
155	0
211	0
511	0
3387	0
226	0
47	0
24	0
61	0
4551	0
66	0
257	0
97	0
425	0
82	0
0	0
309	0
96	0
33	0
97	0
0	0
0	0
167	0
99	0
4070	0
47	0
6	0
204	0
65	0
166	0
0	0
0	0
2355	0
