UniqueCount	AmbigCount
3854	0
691	0
1354	0
5	0
3	0
669	0
20	0
713	0
927	0
2915	0
1957	0
0	0
131	0
3	0
881	0
68	0
694	0
2800	47
2567	0
20	0
16	0
0	0
16	13
226	0
1165	0
774	0
795	0
2356	0
109	0
1	0
13	0
966	0
1305	0
369	0
2	0
163	0
1367	0
931	0
1980	0
360	0
22	0
4	1
40	0
972	0
0	0
10	0
140	0
3844	0
51	0
463	0
172	0
206	0
211	0
2075	0
83	0
744	0
9	0
338	0
7	0
2148	0
1535	2
36	0
224	0
201	0
697	0
219	0
860	0
68	0
3	0
6635	0
2187	0
5557	0
1382	0
911	0
712	0
332	0
675	0
5297	0
260	0
390	0
178	0
923	0
175	0
743	0
394	0
874	0
2988	0
148	0
2	0
66	0
764	0
26	0
292	0
903	0
239	0
959	0
125	0
159	0
487	0
14	0
31	0
312	0
571	3304
1638	0
1550	0
311	0
148	0
1579	0
407	0
369	0
349	0
31	0
1130	0
535	0
379	3304
4235	0
0	341
62	168
2268	341
0	168
421	0
271	1
4431	0
1092	0
312	0
1064	0
403	0
176	0
471	0
1728	0
498	0
107	0
277	0
467	0
708	103
409	0
2413	0
262	0
70	0
1843	0
0	1
14	0
7	5
46	212
1731	0
307	0
5557	0
367	0
52	0
165	0
448	0
45	0
93	0
277	0
26	0
807	0
0	0
61	0
142	128
171	0
43	0
915	0
3286	0
180	206
295	0
91	0
794	0
449	0
155	0
241	0
1198	0
1348	0
1022	0
945	0
620	0
305	0
12	5
2488	0
578	0
1904	0
6422	0
49	0
1274	0
1458	0
4224	0
843	0
1293	0
169	0
227	0
147	0
758	0
789	0
729	0
51	0
1403	0
8	0
3	0
79	0
66	0
0	0
0	0
488	0
8	0
3	0
569	0
273	0
1665	211
102	0
713	0
874	0
3594	0
5251	0
1049	0
678	0
2378	0
174	0
244	0
9	0
1	0
5	0
64	0
3	0
0	0
2711	0
1713	0
186	0
87	0
799	0
4352	0
284	0
679	0
22	0
1	0
226	0
228	0
740	0
1905	0
0	0
4820	0
52	0
211	1
89	1
2879	1
151	0
2759	0
420	17
498	218
75	218
16	0
1040	0
965	0
49	0
118	16
31	0
264	0
646	0
146	0
195	0
7301	0
3392	0
700	0
2279	0
201	0
735	0
24	0
29	0
450	0
406	0
1763	0
2901	0
115	0
278	0
0	0
547	0
651	0
411	0
151	0
202	0
95	0
237	0
513	0
2817	0
14	0
511	4088
958	4088
181	46
117	0
1011	0
6	0
4	0
0	0
56	0
61	75
6	75
0	0
14	1
10	0
12428	1
707	0
0	0
7	2
515	6
28	0
45	0
110	0
230	0
497	0
2	0
2	0
273	0
1424	0
2570	0
710	0
523	0
0	0
0	0
7	0
22	0
0	0
0	0
0	0
0	0
22	0
485	0
606	0
1102	0
182	0
284	0
372	0
1605	0
20	0
320	0
121	60
102	87
1783	0
208	0
62	0
346	0
224	0
145	0
558	0
0	92
13	9
21	1
3	1
4	9
26	92
5	34
897	0
287	15
947	0
1989	0
315	0
72	0
289	0
57	1
278	0
174	0
469	0
306	0
40	0
515	0
258	0
377	0
69	0
2693	0
3	0
0	0
327	0
124	0
46	16
49	69
1079	0
787	0
423	0
189	0
153	40
86	0
18	0
63	0
7	7
420	6
1189	1
302	0
889	0
110	0
0	0
1879	0
213	225
0	0
4	0
3	0
1929	0
299	0
1186	0
289	0
11	0
1	0
824	0
472	0
104	0
658	0
1218	0
620	0
1279	0
862	0
2	0
3558	0
385	0
30	0
2044	197
9	0
943	0
0	15
900	0
303	0
366	0
2059	0
108	0
945	0
228	0
115	0
80	0
110	0
1280	0
1271	0
2186	0
398	0
133	0
76	0
183	0
494	0
130	0
443	0
435	0
183	0
357	0
695	0
1430	0
524	0
6587	0
162	0
93	0
144	0
82	0
704	0
193	0
2169	0
239	0
847	0
13812	0
146	0
204	0
274	0
240	0
24	0
276	0
748	0
205	0
171	0
22	0
3	0
1323	0
176	0
210	0
110	0
369	0
14037	0
575	0
43	0
145	0
91	0
4633	0
313	0
439	0
100	0
850	0
35	0
9	0
215	0
81	0
114	0
530	0
3	0
0	0
658	0
271	0
9112	0
265	0
89	0
839	0
1654	0
1770	0
5	0
0	0
1136	0
0	0
1839	12
632	0
86	0
83	0
86	0
345	0
79	0
4	0
113	0
2	0
1288	0
491	0
267	0
291	0
131	0
1223	0
2539	0
1097	0
153	0
17	0
8	0
1770	0
292	0
343	0
358	0
57	0
0	0
136	0
965	0
1	0
211	0
3	0
81	0
252	0
177	0
380	0
65	0
68	0
103	0
299	0
171	0
4	0
58	0
27	0
13	0
2216	0
73	0
489	0
296	0
646	0
119	0
468	0
97	0
314	0
42	0
161	194
1724	0
2573	0
1762	0
15	0
124	0
1386	0
42	0
176	0
631	0
1	0
55	0
0	0
33	0
11	0
299	0
90	0
231	0
326	0
1663	0
2	1
1	0
0	1
104	0
162	0
499	0
171	0
79	0
426	0
4	0
354	0
647	0
843	0
48	0
8	0
41	0
372	0
3	0
328	2
299	0
202	0
133	0
248	0
403	7
551	0
546	0
221	0
203	0
155	0
351	0
58	0
630	0
1006	2
84	0
38	0
41	0
341	0
314	0
85	0
52	0
1282	0
2	0
16	0
0	0
223	0
147	0
95	0
1211	0
1840	0
21	0
329	0
224	0
145	0
535	0
1098	0
749	0
148	0
222	0
6047	0
10	0
64	0
31	0
313	0
9	0
13	0
4168	0
5458	0
488	0
0	0
2	2
0	0
32	0
433	0
327	0
160	0
845	0
23	0
10	0
112	0
139	0
395	0
853	0
404	0
197	0
129	0
0	0
0	0
2	0
198	0
574	0
96	0
1316	0
137	0
975	0
282	0
246	0
38	0
355	0
0	0
67	0
1396	0
23	0
1706	0
535	0
1247	0
479	0
97	0
114	0
867	0
515	0
366	0
39	0
21	0
112	0
3	0
8	0
101	0
25	0
7	0
306	0
146	0
1535	0
222	0
240	0
35	0
333	0
0	0
1979	0
1320	0
207	0
600	0
207	0
269	0
123	0
258	0
124	0
435	0
262	0
836	0
411	0
642	0
125	0
0	0
30	0
501	0
439	0
4204	0
349	0
429	0
1102	0
44	0
39	0
1469	0
3040	0
143	0
224	0
371	0
106	0
386	0
175	0
1154	0
85	0
137	0
72	0
145	0
118	3
208	0
1584	0
17	0
206	0
490	0
135	0
3	0
165	0
0	0
0	0
0	0
0	0
432	0
7	1
2	1
1599	0
290	0
153	0
1224	0
1481	0
27	0
8	0
1	0
1298	0
646	0
330	0
5	0
128	0
191	0
22	0
190	0
56	0
128	0
331	0
372	0
112	0
71	0
91	0
16	8
84	14
26	14
44	8
466	0
13	0
78	0
146	0
2	0
1833	0
4	0
117	0
8	0
165	0
0	0
387	0
1901	0
14	0
452	3
265	3
20	0
862	0
122	0
96	0
322	0
4491	0
708	0
581	0
333	0
