UniqueCount	AmbigCount
3762	0
369	0
1200	0
17	0
3	0
969	0
60	0
607	0
1172	0
908	0
2480	0
0	0
25	0
1	0
833	0
210	0
888	0
5292	37
3477	0
46	0
26	0
0	0
24	12
376	0
860	0
336	0
401	0
23	0
49	0
7	0
3	0
1031	0
504	0
528	0
0	0
53	0
894	0
506	0
951	0
101	0
1	0
9	4
9	0
904	0
0	0
1	0
2	0
24	0
7	0
457	0
297	0
90	0
1	0
2433	0
5	0
21	0
0	0
287	0
1	0
104	0
1451	3
20	0
8	0
195	0
394	0
274	0
1690	0
1	0
14	0
2968	0
1638	0
2715	0
565	0
304	0
1639	0
602	0
1193	0
8587	0
260	0
245	0
12	0
739	0
120	0
119	0
441	0
759	0
4476	0
69	0
3	0
263	0
3241	0
47	0
19	0
349	0
84	0
815	0
21	0
225	0
683	0
47	0
2	0
508	0
408	2553
441	0
2470	0
648	0
73	0
150	0
691	0
131	0
204	0
17	0
5617	0
687	0
245	2553
29353	0
0	137
38	167
943	137
0	167
445	0
31	0
140	0
240	0
330	0
1562	0
2	0
230	0
1953	0
273	0
86	0
98	0
470	0
42	0
61	13
15	0
116	0
33	0
25	0
1940	0
0	0
0	0
1	3
20	175
2361	0
283	0
6944	0
298	0
71	0
61	0
0	0
202	0
9	0
5	0
16	0
856	0
0	0
0	0
198	150
19	0
52	0
4214	0
8155	0
127	151
227	0
60	0
753	0
322	0
213	0
192	0
115	0
75	0
339	0
2842	0
82	0
327	0
21	2
3254	0
563	0
1303	0
153	0
73	0
0	0
23	0
71	0
53	0
1	0
14	0
493	0
51	0
963	0
1190	0
1780	0
56	0
936	0
17	0
4	0
729	0
1120	0
15	0
1	0
11	0
0	0
0	0
1652	0
62	0
1362	169
324	0
1019	0
673	0
7463	0
5722	0
21	0
963	0
1040	0
60	0
450	0
0	0
0	2
1	0
15	0
0	0
0	0
40	0
6	0
0	0
34	0
180	0
15650	0
153	0
360	0
2	0
4	0
112	0
125	0
71	0
930	0
0	0
22	0
51	0
26	1
101	1
238	1
229	0
3366	0
114	2
12	11
0	11
52	0
923	0
541	0
52	0
98	9
3	0
3	0
362	0
236	0
822	0
28081	0
893	0
603	0
730	0
0	0
1512	0
36	0
3	3
169	0
1348	0
20	0
2071	0
61	0
81	0
0	0
649	0
441	0
254	0
36	0
34	0
1	0
264	0
970	0
6328	0
0	0
3	32
8	32
117	15
38	0
373	0
3	0
0	0
1	0
9	0
0	0
0	0
0	0
10	1
6	0
23176	1
1178	0
0	0
3	3
1017	12
10	0
65	0
298	0
250	0
361	0
2	0
6	0
463	0
1413	0
5445	0
418	0
1484	0
0	0
2	2
0	0
0	0
0	0
0	0
0	0
0	0
1	0
366	0
362	0
921	0
218	0
441	0
427	0
18	0
5	0
410	0
117	53
79	73
183	0
245	0
13	0
391	0
1	0
32	0
981	0
4	68
5	3
2	0
0	0
1	3
23	68
1	1
772	0
318	7
343	0
627	0
240	0
20	0
331	0
49	0
72	0
37	0
670	0
194	0
0	0
939	0
34	0
451	0
5	0
3091	0
0	0
0	0
135	0
121	0
44	9
20	19
66	0
494	0
565	0
17	0
140	41
8	0
0	0
2	0
13	4
360	5
1833	0
478	0
300	0
425	0
0	0
6	0
2	2
0	0
1	0
3	0
12	0
82	0
413	0
6	0
4	0
0	0
503	0
502	0
108	0
300	0
426	0
750	0
2497	0
1636	0
0	0
2390	0
114	0
26	0
80	0
0	0
6	0
0	70
1854	0
108	0
157	0
73	0
91	0
101	0
144	0
66	0
35	0
95	0
930	0
866	0
2429	0
241	0
71	0
43	0
40	0
355	0
148	0
597	0
418	0
161	0
461	0
1908	0
2411	0
160	0
12679	0
128	0
161	0
324	0
86	0
796	0
224	0
3007	0
242	0
463	4
7150	0
155	3
108	0
17	0
3	0
