event	freq_diff	mean_logtpm	pval	pval.corr	comparison	group.i	group.j	mean_freq.i	mean_freq.j
Anogam_AGAP004819-RA	0.0506059725155443	1.05867193073863	0.0667996011964108	0.117523816438212	OeCa A	Oe	Ca	0.0990051838814663	0.048399211365922
Anogam_AGAP004819-RC	-0.0565731801577276	1.33205970449465	0.0653040877367896	0.117523816438212	OeCa A	Oe	Ca	0.797099473668413	0.85367265382614
Anogam_AGAP004823-RA	0	0.788196954146767	0.0992023928215354	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004824-RA	0	0.549117114558815	0.0982053838484546	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004826-RA	0	1.25572459229797	0.117647058823529	0.118660899409563	OeCa A	Oe	Ca	1	1
Anogam_AGAP004829-RA	0	1.57208925477728	0.0997008973080758	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004830-RA	0	0.924545288424101	0.100697906281157	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004830-RB	0	0.0649430587528316	0.107676969092722	0.117523816438212	OeCa A	Oe	Ca	0	0
Anogam_AGAP004832-RA	0	0.472595642379366	0.0967098703888335	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004834-RA	0.260721188834648	0.945473937439829	0.0189431704885344	0.117523816438212	OeCa A	Oe	Ca	0.604937624314409	0.344216435479761
Anogam_AGAP004834-RB	-0.260721188834648	-Inf	0.00795228628230615	0.117523816438212	OeCa A	Oe	Ca	0.395062375685591	0.655783564520239
Anogam_AGAP004836-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004837-RA	0	2.39167397552136	0.0957128614157527	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004838-RA	0	1.51906232623583	0.103190428713858	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004840-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004841-RA	0	0.855848479527264	0.108673978065803	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004844-RA	0	-0.614612828348439	0.106181455633101	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004848-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004850-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004851-RA	0	0.551739767559405	0.103190428713858	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004852-RB	0.066540390436848	0.342256943806677	0.0538384845463609	0.117523816438212	OeCa A	Oe	Ca	0.437477479591734	0.370937089154886
Anogam_AGAP004852-RA	-0.066540390436848	1.54607860686097	0.0438683948155533	0.117523816438212	OeCa A	Oe	Ca	0.562522520408266	0.629062910845114
Anogam_AGAP004853-RA	0	1.01160761410985	0.114157527417747	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP029106-RA	0	1.51779947246814	0.10518444666002	0.117523816438212	OeCa A	Oe	Ca	1	1
