event	freq_diff	mean_logtpm	pval	pval.corr	comparison	group.i	group.j	mean_freq.i	mean_freq.j
Anogam_AGAP004677-RA	-0.0233383711302761	1.07123291593954	0.0667996011964108	0.116101910718062	FM Oe	Oe	Ca	0.205243360271954	0.22858173140223
Anogam_AGAP004677-RB	0.023338371130276	1.63187435407649	0.0772681954137587	0.116101910718062	FM Oe	Oe	Ca	0.794756639728046	0.77141826859777
Anogam_AGAP004681-RA	0	1.07367481131951	0.0907278165503489	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004682-RA	0	1.69751436038131	0.101694915254237	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP028431-RA	0	0.718395755875821	0.10518444666002	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004683-RA	0	-0.0964596845704312	0.10468594217348	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004685-RA	0.0153701868561213	0.00938735150419829	0.0812562313060817	0.116101910718062	FM Oe	Oe	Ca	0.990562983114477	0.975192796258356
Anogam_AGAP004685-RB	-0.0153701868561214	1.30595002166277	0.0777666999002991	0.116101910718062	FM Oe	Oe	Ca	0.0094370168855229	0.0248072037416443
Anogam_AGAP004687-RA	NA	1.78467362535146	NA	NA	FM Oe	Oe	Ca	NA	NA
Anogam_AGAP028432-RA	0	0.611027246842274	0.103688933200399	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004688-RA	0	1.12714612949258	0.102193419740778	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004690-RA	0	0.523356793648906	0.107676969092722	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004691-RA	0	-0.608629053525011	0.102691924227318	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004693-RA	0	-Inf	0.0825049701789264	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004694-RA	0	0.504468595552441	0.108175473579262	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004696-RA	0	-0.135979085683788	0.109670987038883	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004698-RA	0	-Inf	0.0825049701789264	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP028436-RA	0	-0.0556855653023827	0.101694915254237	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004704-RA	0	1.26750456529087	0.108673978065803	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP028437-RA	0	1.62550023627937	0.0977068793619142	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004708-RA	0	-Inf	0.0825049701789264	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004710-RA	0	0.434159276251327	0.0992023928215354	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004713-RA	0	1.07290798965458	0.0922233300099701	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004719-RA	0	0.691261387855814	0.0927218344965104	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004721-RA	0	0.738041054822373	0.115154536390828	0.116963337445751	FM Oe	Oe	Ca	1	1
Anogam_AGAP004722-RA	0	0.708913499028146	0.100199401794616	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004726-RA	0	0.589382275695919	0.100199401794616	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004728-RA	NA	-0.145854335255531	NA	NA	FM Oe	Oe	Ca	1	NA
Anogam_AGAP004729-RA	0	0.00406712302636395	0.0972083748753739	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004731-RA	0	-Inf	0.0825049701789264	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP029113-RA	0	1.62179625680564	0.0962113659022931	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004735-RA	0	-0.252034239284538	0.10518444666002	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004738-RA	0	0.0270225331286249	0.102193419740778	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004740-RA	NA	-0.274637482701972	NA	NA	FM Oe	Oe	Ca	NA	1
Anogam_AGAP004741-RA	0	1.92378713364294	0.0902293120638086	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004742-RA	-0.0845105725653399	-Inf	0.0347912524850895	0.116101910718062	FM Oe	Oe	Ca	0.573779501668741	0.658290074234081
Anogam_AGAP004742-RB	0.0845105725653399	-Inf	0.0347912524850895	0.116101910718062	FM Oe	Oe	Ca	0.426220498331259	0.341709925765919
Anogam_AGAP004745-RA	-6.41441618709493e-07	0.507644352511341	0.106181455633101	0.116101910718062	FM Oe	Oe	Ca	0.999999358558381	1
Anogam_AGAP004745-RB	6.41441618656543e-07	-Inf	0.0825049701789264	0.116101910718062	FM Oe	Oe	Ca	6.41441618656543e-07	0
Anogam_AGAP004747-RA	0	-0.0405435809505574	0.0967098703888335	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004748-RA	0	0.778316674407897	0.0992023928215354	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004750-RA	0	-Inf	0.0825049701789264	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004753-RB	-0.0542364145609254	1.07913774924399	0.047357926221336	0.116101910718062	FM Oe	Oe	Ca	0	0.0542364145609254
Anogam_AGAP004753-RA	0.0542364145609254	0.682028813074268	0.051345962113659	0.116101910718062	FM Oe	Oe	Ca	1	0.945763585439075
Anogam_AGAP004756-RA	0	0.253030283622935	0.0872382851445663	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004758-RC	0.00264082999895789	-Inf	0.0725646123260437	0.116101910718062	FM Oe	Oe	Ca	0.069392455997064	0.0667516259981061
Anogam_AGAP004758-RA	0.00192843693380351	0.763818055745237	0.106181455633101	0.116101910718062	FM Oe	Oe	Ca	0.923724016016997	0.921795579083194
Anogam_AGAP004758-RB	-0.00456926693276141	-0.149629569993587	0.103190428713858	0.116101910718062	FM Oe	Oe	Ca	0.00688352798593888	0.0114527949187003
Anogam_AGAP004760-RA	0	-0.151433123580829	0.113659022931206	0.116446820416265	FM Oe	Oe	Ca	1	1
Anogam_AGAP004764-RA	0	-Inf	0.0825049701789264	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP028129-RA	0	0.407301488075848	0.106679960119641	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004767-RA	0	-Inf	0.0825049701789264	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004768-RA	1.11291568328786e-05	1.22712231654815	0.102193419740778	0.116101910718062	FM Oe	Oe	Ca	1	0.999988870843167
Anogam_AGAP004768-RB	-1.112915683282e-05	0.241011065915718	0.0867397806580259	0.116101910718062	FM Oe	Oe	Ca	0	1.112915683282e-05
Anogam_AGAP004770-RA	0	-0.561404821076361	0.102193419740778	0.116101910718062	FM Oe	Oe	Ca	1	1
Anogam_AGAP004771-RA	0	-Inf	0.0825049701789264	0.116101910718062	FM Oe	Oe	Ca	1	1
