k3	k4	k5	k6	k7	k8	k9	k10	s01ACF	s02ACF	s03ACF	s04ACM	s05ACM	s06ACM	s07BCF	s08BCF	s09BCF	s10BCM	s11BCM	s12BCM
Anogam_AGAP004677-RA	1	1	5	5	2	2	3	5	0.216565796513134	0.213831286351881	0.185332997950845	0.223249758173326	0.270601372884765	0.191894063148598	0.510842927464637	0.340725531570844	0.364543195993683	0.494334349691875	0.529814988941727	0.464113013426081
Anogam_AGAP004677-RB	3	4	2	1	1	1	4	9	0.783434203486866	0.786168713648119	0.814667002049154	0.776750241826674	0.729398627115235	0.808105936851402	0.489157072535363	0.659274468429156	0.635456804006317	0.505665650308125	0.470185011058273	0.535886986573919
Anogam_AGAP004685-RA	3	2	3	6	6	6	7	1	1	0.971688949343431	1	1	1	0.925578388775067	1	1	0.950315286337836	0.96147528891554	0.912907392654123	0.908663039136624
Anogam_AGAP004685-RB	2	3	1	3	3	7	9	3	0	0.0283110506565687	0	0	0	0.0744216112249328	0	0	0.0496847136621641	0.0385247110844597	0.0870926073458766	0.0913369608633763
Anogam_AGAP004742-RA	1	4	4	2	4	5	2	2	0.508099382045844	0.575711273509735	0.637527849450644	0.670712806161645	0.692578144701236	0.611579271839362	0.314347475433484	0.244554679819134	0.284502177861837	0.521574522830932	0.636254583486432	0.558173160499664
Anogam_AGAP004742-RB	1	1	4	5	5	8	1	10	0.491900617954156	0.424288726490265	0.362472150549356	0.329287193838355	0.307421855298764	0.388420728160638	0.685652524566516	0.755445320180866	0.715497822138163	0.478425477169068	0.363745416513568	0.441826839500336
Anogam_AGAP004745-RA	3	2	3	6	6	6	7	1	0.999998075675144	1	1	1	1	1	1	1	1	1	1	1
Anogam_AGAP004745-RB	2	3	1	3	3	7	9	3	1.92432485596963e-06	0	0	0	0	0	0	0	0	0	0	0
Anogam_AGAP004753-RB	2	3	1	3	3	7	9	3	0	0	0	0	0	0.162709243682776	0	0	0	0	0	0
Anogam_AGAP004753-RA	3	2	3	6	6	6	7	1	1	1	1	1	1	0.837290756317224	1	1	1	1	1	1
Anogam_AGAP004758-RC	2	3	1	3	3	7	9	3	0.0753226200026508	0.0873905345809894	0.0454642134075518	0.0795391835202033	0.0655952902636854	0.0551204042104297	0.0638843164402156	0.0484824823704057	0.0845621510394288	0.0622584116817545	0.100593335237378	0.0792211861993027
Anogam_AGAP004758-RA	3	2	3	6	6	6	7	1	0.909493343466502	0.912609465419011	0.949069239165479	0.91751948290867	0.908522142905519	0.939345111435391	0.928295361231785	0.919342155773572	0.908757470729354	0.914007454349685	0.887687670098089	0.913320342618888
Anogam_AGAP004758-RB	2	3	1	3	3	7	9	3	0.0151840365308477	0	0.00546654742696893	0.00294133357112673	0.0258825668307951	0.00553448435417902	0.0078203223279992	0.0321753618560224	0.00668037823121728	0.0237341339685609	0.0117189946645328	0.00745847118180882
Anogam_AGAP004768-RA	3	2	3	6	6	6	7	1	1	1	1	1	0.999966612529501	1	1	1	1	1	1	1
Anogam_AGAP004768-RB	2	3	1	3	3	7	9	3	0	0	0	0	3.33874704984601e-05	0	0	0	0	0	0	0
Anogam_AGAP004775-RB	2	3	1	3	3	3	5	8	0.0529121625420914	0.194293443321895	0.0271095047627405	0.0395501588005329	0.117962786281175	0.0897089196335839	0.154993144951469	0.128882634405851	0.173877448180758	0.0634814564791668	0.0977157916631821	0.233537762553895
Anogam_AGAP004775-RA	3	2	3	6	6	6	7	1	0.947087837457908	0.805706556678105	0.972890495237259	0.960449841199467	0.882037213718825	0.910291080366416	0.845006855048531	0.871117365594149	0.826122551819242	0.936518543520833	0.902284208336818	0.766462237446105
Anogam_AGAP004819-RB	2	3	1	3	3	7	9	8	0.132005314327028	0.0216382045450016	0.148572310026469	0.106398956995678	0.0780657960369664	0.136691472769582	0.159735780496045	0.122181161853327	0.107153696079633	0.0746766887550256	0.0649167308531347	0.0589047508104598
Anogam_AGAP004819-RA	2	3	1	3	3	7	9	3	0.0653373177837198	0.0653385074166839	0.149513651489585	0.0945621752935085	0.109720235469019	0.109559215836281	0.0774160951312505	0.0369095023105191	0.0553949698222442	0.0348892214910181	0.0433112752672363	0.042474204173264
Anogam_AGAP004819-RC	3	2	3	6	6	1	4	4	0.802657367889252	0.913023288038314	0.701914038483945	0.799038867710814	0.812213968494015	0.753749311394136	0.762848124372705	0.840909335836154	0.837451334098123	0.890434089753956	0.891771993879629	0.898621045016276
Anogam_AGAP004852-RB	1	1	4	5	4	8	1	10	0.422333999555375	0.468984099252566	0.441489597945969	0.437164134936835	0.408750466072788	0.44614257978687	0.384456869663302	0.484084616455739	0.441604958828741	0.293619731652784	0.294869133737698	0.326987224591051
Anogam_AGAP004852-RA	1	4	2	1	5	5	8	2	0.577666000444625	0.531015900747434	0.558510402054031	0.562835865063165	0.591249533927212	0.55385742021313	0.615543130336698	0.515915383544261	0.558395041171259	0.706380268347216	0.705130866262302	0.67301277540895
Anogam_AGAP004886-RA	2	3	1	3	3	7	9	3	0.029497859812626	0.0544175529797437	0.0489546502026628	0.0520499819307795	0.0440440546318334	0.0334837318497286	0.0420728887204461	0.0487014075826822	0.0319261522005524	0.0901155580887178	0.0770516310168807	0.12816651506677
Anogam_AGAP004886-RB	3	2	3	6	6	6	7	1	0.970502140187374	0.945582447020256	0.951045349797337	0.947950018069221	0.955955945368167	0.966516268150271	0.957927111279554	0.951298592417318	0.968073847799447	0.909884441911282	0.922948368983119	0.87183348493323
Anogam_AGAP004896-RA	3	2	3	6	6	6	7	1	1	1	0	1	1	1	1	1	1	1	1	0.955336017899076
Anogam_AGAP004896-RB	2	3	1	3	3	7	9	3	0	0	1	0	0	0	0	0	0	0	0	0.044663982100924
Anogam_AGAP005008-RA	3	2	2	1	1	1	4	4	0.834538659304783	0.85762209504306	0.767865918180183	0.835793344302006	0.909437160219967	0.905993951309031	0.686077124742101	0.693048354103997	0.720246689527403	0.742289554469784	0.742090308480189	0.625308657807789
Anogam_AGAP005008-RB	2	1	5	4	7	3	5	6	0.165461340695217	0.14237790495694	0.232134081819817	0.164206655697994	0.0905628397800331	0.0940060486909685	0.313922875257899	0.306951645896003	0.279753310472597	0.257710445530216	0.257909691519811	0.374691342192211
Anogam_AGAP005031-RA	3	2	3	6	6	6	7	1	1	0.984929227620065	1	0.952487621733469	0.921370600205228	0.891106741961294	1	0.97157381720435	0.942444724238797	0.966323885630829	0.95938271177404	0.909218678024249
Anogam_AGAP005031-RB	2	3	1	3	3	7	9	3	0	0.0150707723799351	0	0.0475123782665311	0.0786293997947725	0.108893258038706	0	0.0284261827956502	0.0575552757612036	0.0336761143691715	0.0406172882259603	0.0907813219757504
Anogam_AGAP005037-RA	2	1	5	4	7	2	3	5	0	0	0.0488703298481748	0	0.183538469200595	0.133987247381264	0	0.265559735830344	0	0.433618598327805	0.931935497907654	0.602702853678873
Anogam_AGAP005037-RB	3	2	2	1	1	1	4	9	1	1	0.951129670151825	1	0.816461530799405	0.866012752618736	1	0.734440264169656	1	0.566381401672195	0.0680645020923465	0.397297146321127
Anogam_AGAP005043-RA	2	3	1	3	3	7	9	3	0	0.0583215689750131	0.228376014020338	0	0	0	0	0	0	0.0242467203596528	0	0.0270220182484932
Anogam_AGAP005043-RB	3	2	3	6	6	6	7	1	1	0.941678431024987	0.771623985979662	1	1	1	1	1	1	0.975753279640347	1	0.972977981751507
Anogam_AGAP005044-RB	2	3	1	4	7	3	5	8	0.119137993971849	0.0815968428058627	0.265844733220936	0.24565716908177	0.2778910623552	0.110073628815296	2.73264251887555e-05	0.155060610401838	0.163531170613634	0	0.287590875046071	0
Anogam_AGAP005044-RA	3	2	3	6	6	6	7	1	0.880862006028151	0.918403157194137	0.734155266779064	0.75434283091823	0.7221089376448	0.889926371184704	0.999972673574811	0.844939389598162	0.836468829386366	1	0.712409124953929	1
Anogam_AGAP005054-RA	3	4	2	1	1	1	4	9	0.608648811441694	0.737376354470515	0.695162480641188	0.566511814436475	0.772845765082876	0.727295183773592	0.592084258474466	0.757124300276847	0.855071651859382	0.396246897638784	0.770011467075737	0.380609564932531
Anogam_AGAP005054-RB	1	1	4	5	2	2	3	5	0.391351188558306	0.262623645529485	0.304837519358812	0.433488185563525	0.227154234917124	0.272704816226408	0.407915741525534	0.242875699723153	0.144928348140618	0.603753102361216	0.229988532924263	0.619390435067469
Anogam_AGAP005071-RB	2	3	5	4	7	3	5	8	0.0328273541296133	0.1240699931653	0.113293387169744	0.0978623852462668	0.184050146770169	0.0728893058638977	0.10351661030765	0.0487612972788352	0.0981247934965139	0.305131134724308	0.355791813612354	0.431724972015609
Anogam_AGAP005071-RA	3	2	3	6	6	1	4	9	0.967172645870387	0.875930006834701	0.886706612830256	0.902137614753733	0.815949853229831	0.927110694136102	0.89648338969235	0.951238702721165	0.901875206503486	0.694868865275692	0.644208186387646	0.568275027984391
Anogam_AGAP005114-RB	3	2	2	1	1	1	4	4	0.919166652216633	0.771895490456919	0.534752538823262	0.954391786798585	0.804695320092222	0.851323456768691	0.637756136488186	0.74140028444122	0.750543589019463	0.826503709259443	0.780287769838131	0.771692027159565
Anogam_AGAP005114-RA	2	1	5	4	7	3	5	6	0.0808333477833666	0.228104509543081	0.465247461176738	0.0456082132014151	0.195304679907778	0.148676543231309	0.362243863511815	0.25859971555878	0.249456410980537	0.173496290740557	0.219712230161869	0.228307972840435
