k3	k4	k5	k6	k7	k8	k9	k10	s01ACF	s02ACF	s03ACF	s04ACM	s05ACM	s06ACM	s07BCF	s08BCF	s09BCF	s10BCM	s11BCM	s12BCM
Anogam_AGAP005124-RA	2	1	5	4	7	4	6	6	0.44017429001528	0.26558399067902	0.470727572343122	0.371525756831666	0.255349445477464	0.356588713901726	0.187899068295354	0.200699501009598	0.197823282072711	0.167622944047874	0.171993746530249	0.184492008714181
Anogam_AGAP005124-RB	1	4	4	2	5	5	2	2	0.37800090817066	0.558024698540735	0.391963676599711	0.483402971130161	0.571427668544123	0.4880946405816	0.600073508541853	0.560119527708073	0.519691428980926	0.647468538539811	0.644565164748127	0.54330708768118
Anogam_AGAP005124-RC	2	3	5	4	7	3	5	8	0.18182480181406	0.176391310780245	0.137308751057167	0.145071272038173	0.173222885978413	0.155316645516674	0.212027423162793	0.239180971282328	0.282485288946363	0.184908517412315	0.183441088721623	0.272200903604639
Anogam_AGAP005147-RB	2	3	5	4	7	3	5	8	0.170794790501513	0.0978586995236859	0.298848408610609	0.15462024505401	0	0.10691298244094	0.221325123567574	0.305361160289041	0.407651523361649	0.0200830869843914	0.0622157807421278	0.0404640888212867
Anogam_AGAP005147-RA	3	2	3	6	6	6	7	4	0.829205209498487	0.902141300476314	0.701151591389391	0.84537975494599	1	0.89308701755906	0.778674876432426	0.694638839710959	0.592348476638351	0.979916913015608	0.937784219257872	0.959535911178713
Anogam_AGAP005160-RD	2	3	1	3	7	3	5	8	0.177041458943509	0.187413986085625	0.107852839502504	0.154150632530434	0.142659317300396	0.175817107580677	0.0868685388813145	0.134640250478426	0.132132154559222	0.0993468768428736	0.0910030486677902	0.141045544574623
Anogam_AGAP005160-RE	1	4	2	2	5	5	2	2	0.573511644980034	0.647000947435202	0.599211502360615	0.623986048706251	0.645490130956968	0.568457450132552	0.559514392926372	0.547027499291657	0.620386931476078	0.560964492572042	0.585627468995334	0.603609963165244
Anogam_AGAP005160-RB	2	3	1	3	3	7	9	8	0.0950633837582744	0.0668981145992163	0.121514633145326	0.0974150318831068	0.0818925351155388	0.0991032497217546	0.110341452584275	0.0989831227819523	0.0815876103989294	0.136016827912338	0.0992468785361326	0.0998076484417343
Anogam_AGAP005160-RA	2	3	1	3	3	7	9	3	0.0432261619355134	0.0692507625177668	0.0137743747975057	0.0382524092292786	0.055924236417521	0.00860296666825545	0.0294288043052854	0.00958080115778584	0.00721992448056601	0.0376884049022612	0.0631176796110675	0.0144795201979647
Anogam_AGAP005160-RC	2	3	1	3	7	3	5	8	0.111157350382669	0.0294361893621903	0.157646650194048	0.0861958776509301	0.0740337802095759	0.148019225896761	0.213846811302753	0.209768326290179	0.158673379085204	0.165983397770485	0.161004924189676	0.141057323620433
Anogam_AGAP005162-RA	1	1	4	5	2	8	1	6	0.449183563155923	0.355291312176338	0.296631233165428	0.202426590448394	0.290065052481432	0.300175048253215	0.282862362962315	0.450102385741999	0.29232768735548	0.408325579532481	0.365603458837276	0.437523937687721
Anogam_AGAP005162-RB	3	4	2	1	1	5	4	2	0.550816436844077	0.644708687823662	0.703368766834572	0.797573409551606	0.709934947518568	0.699824951746785	0.717137637037685	0.549897614258001	0.70767231264452	0.591674420467519	0.634396541162724	0.562476062312279
Anogam_AGAP005199-RA	3	2	3	6	1	1	4	1	0.921730097419956	0.90220170693239	0.894521984742099	0.897854306052957	0.881764849731491	0.961870227753316	0.884446599040467	0.709104142131699	0.822384952092379	0.757675381068178	0.69142972827656	0.630875048702023
Anogam_AGAP005199-RB	2	3	5	4	7	3	5	8	0.0782699025800435	0.0977982930676096	0.105478015257901	0.102145693947043	0.118235150268509	0.0381297722466844	0.115553400959533	0.290895857868301	0.177615047907621	0.242324618931822	0.30857027172344	0.369124951297977
Anogam_AGAP005203-RC	2	1	5	4	7	3	5	8	0.196768238687942	0.174061750272247	0.175646226160798	0.177641183584734	0.241228917722775	0.196514829465382	0.230170190968862	0.200528571103591	0.260933202572131	0.269587818324534	0.268353182676358	0.218211829318827
Anogam_AGAP005203-RJ	2	3	1	3	3	7	9	3	0.0103602914848783	0.0163002077913787	0.0032133429307377	0.0125890287784032	0.0265120161655748	0.020385330375435	0.0134755450307772	0.00959721060148202	0.0173107575276853	0.0207704796928848	0.0122508350298161	0.0196674776985446
Anogam_AGAP005203-RD	2	1	5	4	7	3	5	8	0.124212270799268	0.122891347324212	0.126401788623597	0.171592575335595	0.147661822312305	0.106244959079274	0.224419077289172	0.312199316019675	0.293300672650139	0.278109488995783	0.356869775699	0.317892243146589
Anogam_AGAP005203-RF	2	3	5	4	7	3	5	8	0.193902645964881	0.152411269141616	0.161229027351097	0.168820939024167	0.182343400016581	0.178614486167375	0.205143822358361	0.218389887009165	0.217575439131684	0.214765456412382	0.189469882750731	0.252096036667958
Anogam_AGAP005203-RA	1	1	4	2	4	4	6	7	0.474756553063031	0.534335425470547	0.533509614933771	0.469356273277101	0.402253843782764	0.498240394912534	0.326791364352828	0.259285015266088	0.21087992811836	0.216766756574416	0.173056323844095	0.192132413168082
Anogam_AGAP005205-RC	2	3	1	3	3	7	9	3	0.0288701096964814	0.103361250356889	0.0203303166612049	0.0278976501490263	0.0423979885911572	0.0432627924201869	0.0488113606672379	0.094307986428116	0.0500327088540965	0.058633571023794	0.0423013917796698	0.0550426537754358
Anogam_AGAP005205-RB	1	4	4	2	4	5	2	2	0.524119309293742	0.444999655325657	0.678754844114017	0.561136951871947	0.581308241992648	0.606516248670531	0.504711668698154	0.454420232663089	0.377700449919071	0.525305278790721	0.470099290494732	0.540160105399045
Anogam_AGAP005205-RA	1	1	4	5	2	8	1	10	0.447010581009776	0.451639094317454	0.300914839224779	0.410965397979027	0.376293769416195	0.350220958909282	0.446476970634608	0.451271780908795	0.572266841226832	0.416061150185485	0.487599317725598	0.404797240825519
Anogam_AGAP005213-RA	3	4	2	1	1	5	2	2	0.559148726816794	0.895462702064187	0.637848996752348	1	0.576126205892996	1	0.623924610713812	0.481168501900362	0.393040334178453	0.436564930139374	0.625135663492911	0.739614032789748
Anogam_AGAP005213-RD	2	1	5	4	2	3	5	6	0.250428188281685	0.104537297935813	0.362151003247652	0	0.423873794107004	0	0.224084932872986	0.518831498099638	0.606959665821547	0.205710447536494	0.0585415789347548	0.222258606763158
Anogam_AGAP005213-RB	2	3	1	3	3	7	9	8	0.190423084901521	0	0	0	0	0	0.151990456413202	0	0	0.357724622324132	0.316322757572334	0.0381273604470932
Anogam_AGAP005234-RA	1	1	4	5	2	8	1	10	0.367447738840509	0.208592320533099	0.620764870501141	0.480743919265305	0.261388422691666	0.380750135121762	0.281136380669289	0.395376907452767	0.398916357694014	0.357263146600699	0.368136995785461	0.411653048610801
Anogam_AGAP005234-RB	1	4	2	1	5	5	2	2	0.632552261159491	0.791407679466901	0.379235129498859	0.519256080734695	0.738611577308334	0.619249864878238	0.718863619330711	0.604623092547233	0.601083642305986	0.642736853399301	0.631863004214539	0.588346951389199
Anogam_AGAP005244-RB	1	4	4	2	5	8	1	10	0.628187703931023	0.384124325965928	0.505198559173303	0.410980975610141	0.284867499051217	0.389822941360106	0.655131460505753	0.888203928000102	0.80521594221746	0.191225324052772	0.2655058687397	0.381076135897159
Anogam_AGAP005244-RA	1	4	4	2	4	5	2	2	0.371812296068977	0.615875674034072	0.494801440826697	0.589019024389859	0.715132500948783	0.610177058639894	0.344868539494247	0.111796071999898	0.19478405778254	0.808774675947228	0.7344941312603	0.618923864102841
Anogam_AGAP005246-RE	1	1	4	5	2	8	1	10	0.344530578973922	0.383725024375173	0.350496515169229	0.375928048578094	0.413307635870292	0.409791482244312	0.347009903353219	0.400429997868388	0.347526221162883	0.42204164883387	0.379140985455951	0.438093775943163
Anogam_AGAP005246-RC	2	3	1	3	3	7	9	8	0.0813556161168661	0.0875956633396557	0.0698923402384079	0.0779797715041227	0.0986667455531901	0.0698016360848319	0.0950903254060768	0.0955824555159467	0.123524573369785	0.118687059881412	0.105969515709523	0.102449689551403
Anogam_AGAP005246-RD	1	1	4	5	4	8	1	10	0.48085274161958	0.418017793508225	0.499843462936999	0.463521083738496	0.40989509625407	0.438673491109606	0.454858198900397	0.386274062344756	0.401118931496512	0.3690520384848	0.401224828944276	0.368484048812562
Anogam_AGAP005246-RA	2	3	1	3	3	7	9	8	0.0932610632896326	0.110661518776946	0.0797676816553638	0.0825710961792875	0.0781305223224481	0.0817333905612499	0.103041572340307	0.11771348427091	0.12783027397082	0.0902192527999181	0.11366466989025	0.0909724856928725
Anogam_AGAP005300-RC	2	3	1	3	3	7	5	8	0.119936474535347	0.185497340453434	0.0905635415703484	0.053704505465965	0.0691154937646598	0.116696693925564	0.145642128769344	0.0285908663855519	0.0958632253797841	0.189485577402219	0.0971365829027218	0.135056375080831
Anogam_AGAP005300-RA	2	1	5	4	7	3	5	8	0.161115860667103	0.145496941783732	0.141762993999592	0.199966735736821	0.315700815214606	0.237712437900097	0.127318676459282	0.197992403877153	0.211137732512705	0.247842879056911	0.328865093183323	0.327341676339223
Anogam_AGAP005300-RB	3	4	2	1	1	1	4	9	0.71894766479755	0.669005717762833	0.76767346443006	0.746328758797214	0.615183691020734	0.64559086817434	0.727039194771374	0.773416729737295	0.692999042107511	0.56267154354087	0.573998323913955	0.537601948579946
Anogam_AGAP005341-RB	2	3	1	3	3	7	5	8	0.0282418977820331	0.205450584013299	0.109763193213761	0.0705928159802183	0.30772178204662	0.0487549622036064	0	0.167349268676929	0.079202394296023	0.0744374249484989	0.142146314343778	0.0585405830562625
Anogam_AGAP005341-RA	3	2	3	6	6	6	7	1	0.971758102217967	0.794549415986701	0.890236806786239	0.929407184019782	0.69227821795338	0.951245037796394	1	0.832650731323071	0.920797605703977	0.925562575051501	0.857853685656222	0.941459416943738
Anogam_AGAP005369-RA	2	3	5	4	7	3	5	8	0.19693117985385	0.167008863725044	0.258001945896127	0.188733816608911	0.172293334003797	0.214681982715317	0.177433284970925	0.192033542778959	0.206766337016072	0.216713499637618	0.128217667303793	0.184837317113688
Anogam_AGAP005369-RB	3	2	3	6	1	1	4	4	0.80306882014615	0.832991136274956	0.741998054103873	0.811266183391089	0.827706665996203	0.785318017284682	0.822566715029075	0.807966457221041	0.793233662983928	0.783286500362382	0.871782332696207	0.815162682886312
Anogam_AGAP005378-RA	3	2	2	1	1	1	4	9	0.841662496053428	1	1	1	0.77207241860339	1	1	0.635351423028881	0.574303113937238	0.436376007916671	0.388806573378893	0.395992108691649
Anogam_AGAP005378-RB	2	1	5	4	7	2	3	5	0.158337503946572	0	0	0	0.22792758139661	0	0	0.364648576971119	0.40209860868347	0.456201907020282	0.480789654629068	0.604007891308351
Anogam_AGAP005378-RC	2	3	1	3	3	7	9	3	0	0	0	0	0	0	0	0	0.0235982773792914	0.107422085063047	0.130403771992039	0
Anogam_AGAP005381-RA	2	3	5	4	7	3	5	8	0.130937855957639	0.135973177783043	0.244049836487621	0.226359193227023	0.267497273458429	0.14441783453283	0.315498272680601	0.152953312546074	0.0717831989543782	0.268844050333019	0.274384680733655	0.200057887757284
Anogam_AGAP005381-RB	1	1	5	4	2	8	6	6	0.49211646383606	0.428934441153376	0.184095159581958	0.175910479627007	0.283070411713056	0.289608210917829	0.469003149787841	0.303611611614841	0.150461897011587	0.208027594498317	0.280541771017913	0.242830856908648
Anogam_AGAP005381-RC	1	4	4	2	5	5	2	2	0.376945680206301	0.435092381063581	0.571855003930421	0.59773032714597	0.449432314828515	0.565973954549341	0.215498577531559	0.543435075839085	0.777754904034034	0.523128355168664	0.445073548248432	0.557111255334068
Anogam_AGAP005411-RB	2	1	5	4	7	4	6	6	0.208863514891485	0.637762689899396	0.109727520174816	0.49255911414971	0.223535492800469	0.362339192548607	0.208828483003899	0.21069778096756	0.247279178592911	0.19445572629703	0.13195491463696	0.17890346669096
Anogam_AGAP005411-RA	3	4	2	1	1	1	8	4	0.791136485108515	0.362237310100604	0.890272479825184	0.50744088585029	0.776464507199531	0.637660807451393	0.791171516996102	0.78930221903244	0.752720821407089	0.80554427370297	0.868045085363039	0.82109653330904
Anogam_AGAP005449-RA	1	1	5	4	4	4	6	7	0.337061596616976	0.375016014147302	0.370175189047045	0.508488594083913	0.497481072123134	0.544582191281194	0.317095834633454	0.043233957703693	0.279982270744395	0.108084396001509	0.121165983941201	0.101497692244496
Anogam_AGAP005449-RB	3	4	2	1	5	1	8	4	0.662938403383024	0.624983985852698	0.629824810952955	0.491511405916087	0.502518927876866	0.455417808718806	0.682904165366546	0.956766042296307	0.720017729255604	0.891915603998491	0.878834016058799	0.898502307755504
Anogam_AGAP005498-RB	1	4	2	2	5	5	2	2	0.551561870606758	0.429446349903514	0.650849349888358	0.652424362297875	0.611167364959688	0.641356726704258	0.310305801134666	0.570164175301708	0.519512919157104	0.523319667437614	0.442303696905292	0.647315820561221
Anogam_AGAP005498-RC	1	1	4	5	2	8	1	6	0.388759224160884	0.262589840325818	0.292183664666499	0.28701209482417	0.231728761048521	0.275181411519842	0.567541335760019	0.344914356687526	0.411649160152012	0.355152639819667	0.353039550325012	0.306479796956657
Anogam_AGAP005498-RA	2	3	1	3	3	3	5	8	0.059678905232358	0.307963809770668	0.0569669854451432	0.0605635428779555	0.157103873991791	0.0834618617758997	0.122152863105315	0.0849214680107663	0.0688379206908839	0.121527692742718	0.204656752769696	0.0462043824821224
Anogam_AGAP005504-RA	2	3	1	3	3	7	9	3	0.0524500888576728	0.0293111952080385	0.0334980175846697	0.0413994091373369	0.050757141517091	0.0148419925869911	0.0136508693586352	0.00764142171655029	0.00996655757272951	0.0301906194742654	0.0315846145012125	0.0122412553927146
Anogam_AGAP005504-RB	1	4	4	5	5	5	1	10	0.483268731002423	0.625953989439336	0.315612693011929	0.362604352981234	0.542742002071819	0.452730342929655	0.720707347877468	0.424114657871788	0.448722845978578	0.676784268870294	0.50072183553893	0.343729340580302
Anogam_AGAP005504-RD	1	1	5	4	2	8	6	6	0.307453157254876	0.222071248416702	0.443545805869848	0.391948414764022	0.284283045343152	0.346701171517277	0.178544486826832	0.358841243087758	0.383227179897657	0.185311928623647	0.298401374975352	0.441298784647006
Anogam_AGAP005504-RC	2	3	5	4	7	3	5	8	0.156828022885029	0.122663566935924	0.207343483533553	0.204047823117407	0.122217811067938	0.185726492966077	0.0870972959370649	0.209402677323904	0.158083416551035	0.107713183031793	0.169292174984505	0.202730619379977
Anogam_AGAP005508-RA	1	4	4	2	5	5	2	2	0.585720575823433	0.453303338228305	0.444410897725186	0.558093951066798	0.407487732036771	0.509029726241446	0.527762412056628	0.556028454318341	0.580913213788993	0.437472095476813	0.489850247549126	0.582632871794903
Anogam_AGAP005508-RC	1	4	4	2	4	5	2	10	0.414279424176567	0.546696661771695	0.555589102274814	0.441906048933202	0.592512267963229	0.490970273758554	0.472237587943372	0.443971545681659	0.419086786211007	0.562527904523187	0.510149752450874	0.417367128205097
Anogam_AGAP005524-RA	2	3	1	3	3	7	9	8	0.0875588823908485	0	0.238685987332468	0.0730612023282387	0.304387134761987	0.140318712515384	0.0568984085057015	0.0135298278312498	0	0.251344338770906	0	0.128498430111638
Anogam_AGAP005524-RB	3	2	3	6	6	6	7	1	0.912441117609151	1	0.761314012667532	0.926938797671761	0.695612865238013	0.859681287484616	0.943101591494299	0.98647017216875	1	0.748655661229094	1	0.871501569888362
Anogam_AGAP005556-RB	3	2	2	1	1	1	4	4	0.766858548991586	0.863232338317293	0.891833559031908	0.887870474894425	0.893009158458112	0.88661866377267	0.466946716189867	0.473238699288032	0.449111375362615	0.92169988216713	0.917968034346012	0.918473891147683
Anogam_AGAP005556-RA	2	1	5	4	7	3	5	6	0.233141451008414	0.136767661682707	0.108166440968092	0.112129525105575	0.106990841541888	0.11338133622733	0.533053283810133	0.526761300711968	0.550888624637385	0.0783001178328702	0.0820319656539876	0.0815261088523175
Anogam_AGAP005564-RB	2	3	1	3	3	7	9	8	0.0699394610652425	0	0.0129921614454818	0.11605304926142	0.0310273363274462	0	0.115695555994045	0.169390088634661	0.195022628845786	0.105875609230432	0.0655634277943094	0.26972489217291
Anogam_AGAP005564-RD	2	3	1	3	7	3	5	8	0.13732193484555	0.0299151386071829	0	0.0479303192887816	0	0	0.264194051677772	0.185005981730203	0.22223972443277	0.260578130848896	0.213487773427141	0.162135795899764
Anogam_AGAP005564-RA	1	4	4	2	4	4	2	7	0.498327686520747	0.815521441758668	0.987007838554518	0.836016631449799	0.265764650141063	1	0.231618774181458	0.234353735731856	0.245499692164799	0.251428917129537	0.300263256405772	0.246706250042098
Anogam_AGAP005564-RC	2	1	5	5	2	2	3	5	0.29441091756846	0.154563419634149	0	0	0.70320801353149	0	0.388491618146725	0.41125019390328	0.337237954556645	0.382117342791136	0.420685542372778	0.321433061885228
Anogam_AGAP005625-RA	3	2	3	6	6	6	7	1	0.98948169903114	0.994694991387035	0.988149378824987	0.967781325259468	0.989592223130636	0.95751530872791	0.98310823381951	0.98420350627602	0.976280648098647	0.987923575124442	0.985094545229281	0.978488153654634
Anogam_AGAP005625-RB	2	3	1	3	3	7	9	3	0.0105183009688599	0.00530500861296509	0.011850621175013	0.032218674740532	0.0104077768693636	0.0424846912720901	0.0168917661804901	0.0157964937239797	0.0237193519013527	0.0120764248755578	0.0149054547707186	0.0215118463453663
Anogam_AGAP005635-RB	1	1	5	4	2	8	1	6	0.296646095763443	0.323336663520898	0.11258300546328	0.245592371964343	0.324774667148375	0.377212014546921	0.381081140261824	0.412599486818749	0.367120870411723	0.377313363717437	0.16239454661166	0.0758638186729394
Anogam_AGAP005635-RA	3	4	2	1	1	1	4	4	0.703353904236557	0.676663336479102	0.88741699453672	0.754407628035657	0.675225332851625	0.622787985453079	0.618918859738176	0.587400513181251	0.632879129588277	0.622686636282563	0.83760545338834	0.924136181327061
Anogam_AGAP005661-RB	2	3	1	3	3	7	9	3	0	0.0159533053966104	0	0	0	0	0	0.0294648899200668	0	0.0151184873800701	0	0
Anogam_AGAP005661-RA	3	2	3	6	6	6	7	1	1	0.98404669460339	1	1	1	1	1	0.970535110079933	1	0.98488151261993	1	1
Anogam_AGAP005672-RB	1	1	5	5	2	8	1	6	0.48026344603386	0.339391900730042	0.232562981575699	0.255235731641535	0.12413967009587	0.0346728924984841	0.473079260324422	0.626308185931484	0.563412405713271	0.312868113765115	0.337785164007831	3.3854926047461e-05
