event	freq_diff	mean_logtpm	pval	pval.corr	comparison	group.i	group.j	mean_freq.i	mean_freq.j
Anogam_AGAP004677-RA	-0.200127191404434	1.11976120706087	0.0239282153539382	0.12064369979008	OeCa F	OecyF	BulkF	0.205243360271954	0.405370551676388
Anogam_AGAP004677-RB	0.200127191404434	1.90968421673218	0.0204386839481555	0.12064369979008	OeCa F	OecyF	BulkF	0.794756639728046	0.594629448323612
Anogam_AGAP004681-RA	NA	1.13149714962758	NA	NA	OeCa F	OecyF	BulkF	1	NA
Anogam_AGAP004682-RA	0	1.77839758399722	0.0927218344965104	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP028431-RA	0	0.417685640443845	0.0977068793619142	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004683-RA	0	0.347262295809854	0.106679960119641	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004685-RA	0.00712455433519843	-0.177779516486097	0.0977068793619142	0.12064369979008	OeCa F	OecyF	BulkF	0.990562983114477	0.983438428779279
Anogam_AGAP004685-RB	-0.00712455433519846	1.36557943368003	0.0932203389830508	0.12064369979008	OeCa F	OecyF	BulkF	0.0094370168855229	0.0165615712207214
Anogam_AGAP004687-RA	NA	1.87721151850578	NA	NA	OeCa F	OecyF	BulkF	NA	NA
Anogam_AGAP028432-RA	0	0.790032223451471	0.101694915254237	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004688-RA	0	1.08770580759068	0.0977068793619142	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004690-RA	0	0.803271670962313	0.104187437686939	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004691-RA	0	-0.406929852672118	0.0957128614157527	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004693-RA	0	-Inf	0.084493041749503	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004694-RA	0	0.48208760689526	0.0962113659022931	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004696-RA	0	0.256020075606331	0.0957128614157527	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004698-RA	0	-Inf	0.084493041749503	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP028436-RA	0	-0.0344989965296405	0.098703888334995	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004704-RA	0	1.47222491798114	0.103190428713858	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP028437-RA	0	1.84143310819652	0.0922233300099701	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004708-RA	0	-Inf	0.084493041749503	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004710-RA	0	0.611591577539471	0.107676969092722	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004713-RA	0	1.35238268153408	0.108175473579262	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004719-RA	0	0.747704583889617	0.113160518444666	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004721-RA	0	0.569275767827487	0.106181455633101	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004722-RA	0	0.665250013361474	0.0972083748753739	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004726-RA	0	0.526861396574142	0.103190428713858	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004728-RA	NA	-0.224208462853501	NA	NA	OeCa F	OecyF	BulkF	1	NA
Anogam_AGAP004729-RA	0	0.0170405271825284	0.103688933200399	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004731-RA	0	-Inf	0.084493041749503	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP029113-RA	0	1.38240483134334	0.102691924227318	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004735-RA	0	-Inf	0.084493041749503	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004738-RA	0	0.107680139779958	0.0997008973080758	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004740-RA	NA	-0.173505003304452	NA	NA	OeCa F	OecyF	BulkF	NA	NA
Anogam_AGAP004741-RA	0	2.01652768126455	0.0917248255234297	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004742-RA	0.292644723963923	-Inf	0.00894632206759444	0.12064369979008	OeCa F	OecyF	BulkF	0.573779501668741	0.281134777704818
Anogam_AGAP004742-RB	-0.292644723963923	-Inf	0.00894632206759444	0.12064369979008	OeCa F	OecyF	BulkF	0.426220498331259	0.718865222295182
Anogam_AGAP004745-RA	-6.41441618709493e-07	1.02027563156813	0.121635094715852	0.12239726539843	OeCa F	OecyF	BulkF	0.999999358558381	1
Anogam_AGAP004745-RB	6.41441618656543e-07	0.671702098855617	0.098703888334995	0.12064369979008	OeCa F	OecyF	BulkF	6.41441618656543e-07	0
Anogam_AGAP004747-RA	0	0.199832073904572	0.0877367896311067	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004748-RA	0	0.746754774644576	0.114157527417747	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004750-RA	0	-Inf	0.084493041749503	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004753-RB	0	1.30615956022275	0.0922233300099701	0.12064369979008	OeCa F	OecyF	BulkF	0	0
Anogam_AGAP004753-RA	0	0.620582063346824	0.10468594217348	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004756-RA	0	-0.219693443863444	0.102691924227318	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004758-RC	0.00374947271371401	-Inf	0.0745526838966203	0.12064369979008	OeCa F	OecyF	BulkF	0.069392455997064	0.06564298328335
Anogam_AGAP004758-RA	0.00492568677209348	0.860182600477105	0.0972083748753739	0.12064369979008	OeCa F	OecyF	BulkF	0.923724016016997	0.918798329244904
Anogam_AGAP004758-RB	-0.00867515948580741	-0.190510360692794	0.0962113659022931	0.12064369979008	OeCa F	OecyF	BulkF	0.00688352798593888	0.0155586874717463
Anogam_AGAP004760-RA	0	-0.22674535304252	0.103190428713858	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004764-RA	0	-Inf	0.084493041749503	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP028129-RA	0	0.609629174853242	0.10568295114656	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004767-RA	0	-0.461125151793166	0.0967098703888335	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004768-RA	0	1.2868786424179	0.0937188434695913	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004768-RB	0	0.273448291901792	0.0882352941176471	0.12064369979008	OeCa F	OecyF	BulkF	0	0
Anogam_AGAP004770-RA	0	-0.36524663710682	0.098703888334995	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004771-RA	0	-Inf	0.084493041749503	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004772-RA	0	-Inf	0.084493041749503	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004775-RB	-0.0611460389704502	-Inf	0.0447316103379722	0.12064369979008	OeCa F	OecyF	BulkF	0.091438370208909	0.152584409179359
Anogam_AGAP004775-RA	0.0611460389704501	0.38462486762722	0.0493519441674975	0.12064369979008	OeCa F	OecyF	BulkF	0.908561629791091	0.847415590820641
Anogam_AGAP004777-RA	0	-Inf	0.084493041749503	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004780-RA	0	-Inf	0.084493041749503	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004781-RA	0	-Inf	0.084493041749503	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004782-RA	0	-Inf	0.084493041749503	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004783-RA	0	-0.122799733373779	0.107178464606181	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP028999-RA	NA	1.25307476454359	NA	NA	OeCa F	OecyF	BulkF	NA	NA
Anogam_AGAP028301-RA	NA	-0.0712406257868625	NA	NA	OeCa F	OecyF	BulkF	NA	NA
Anogam_AGAP004787-RA	0	-Inf	0.084493041749503	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004789-RA	0	-Inf	0.084493041749503	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004791-RA	NA	-Inf	NA	NA	OeCa F	OecyF	BulkF	NA	NA
Anogam_AGAP004795-RA	0	-Inf	0.084493041749503	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004797-RA	0	-0.334801304275426	0.10518444666002	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004798-RA	0	-Inf	0.084493041749503	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004799-RA	0	0.483259260652894	0.0967098703888335	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004800-RA	0	1.41564815371018	0.113160518444666	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004803-RA	0	1.01262236215111	0.121136590229312	0.122190828754843	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004806-RA	0	0.965060584777015	0.123130608175474	0.123417647493675	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004808-RA	0	0.25780300553903	0.0952143569292124	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004809-RA	0	-Inf	0.084493041749503	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004810-RA	0	-0.319363176288037	0.098703888334995	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004812-RA	0	1.79016061991295	0.0962113659022931	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004815-RA	NA	2.50389257222016	NA	NA	OeCa F	OecyF	BulkF	1	NA
Anogam_AGAP004816-RA	0	1.26090411995913	0.0972083748753739	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004817-RA	0	0.734923900323177	0.116151545363908	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004819-RB	-0.0289516031768354	0.959548956777586	0.0747756729810568	0.12064369979008	OeCa F	OecyF	BulkF	0.100738609632833	0.129690212809668
Anogam_AGAP004819-RA	0.0368229698086585	1.25843985050078	0.0692921236291127	0.12064369979008	OeCa F	OecyF	BulkF	0.0933964922299964	0.0565735224213379
Anogam_AGAP004819-RC	-0.00787136663182308	1.44586650614283	0.098703888334995	0.12064369979008	OeCa F	OecyF	BulkF	0.805864898137171	0.813736264768994
Anogam_AGAP004823-RA	0	0.842501468059718	0.109172482552343	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004824-RA	0	0.739137988558334	0.119641076769691	0.121177500931855	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004826-RA	0	1.39044835452939	0.108175473579262	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004829-RA	0	1.42014903287059	0.117647058823529	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004830-RA	0	1.16835670057905	0.102691924227318	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004830-RB	0	0.0587317163844431	0.10568295114656	0.12064369979008	OeCa F	OecyF	BulkF	0	0
Anogam_AGAP004832-RA	0	0.491911944665274	0.0967098703888335	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004834-RA	0.417936422166609	1.00575219235691	0.00947158524426722	0.12064369979008	OeCa F	OecyF	BulkF	0.778447903187539	0.36051148102093
Anogam_AGAP004834-RB	-0.417936422166609	-0.467857545370683	0.00648055832502492	0.12064369979008	OeCa F	OecyF	BulkF	0.221552096812461	0.63948851897907
Anogam_AGAP004836-RA	0	-0.226065685299145	0.103688933200399	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004837-RA	0	2.45274485535037	0.100199401794616	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004838-RA	0	1.65483313921483	0.109172482552343	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004840-RA	0	-Inf	0.084493041749503	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004841-RA	0	1.17142708046677	0.103190428713858	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004844-RA	0	-0.60445877803587	0.110667996011964	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004848-RA	0	-Inf	0.084493041749503	0.12064369979008	OeCa F	OecyF	BulkF	1	1
Anogam_AGAP004850-RA	0	-Inf	0.084493041749503	0.12064369979008	OeCa F	OecyF	BulkF	1	1
