Name	Length	EffectiveLength	TPM	NumReads
Anogam_AGAP004677-RA	1227	983.906	130.365059	3239.000000
Anogam_AGAP004678-RA	1035	791.906	60.358375	1207.000000
Anogam_AGAP004679-RB	1593	1349.906	31.712172	1081.000000
Anogam_AGAP004680-RA	531	299.894	1.452543	11.000000
Anogam_AGAP004681-RA	411	196.837	0.201186	1.000000
Anogam_AGAP004682-RA	1650	1406.906	24.713443	878.000000
Anogam_AGAP028431-RA	315	125.403	8.526300	27.000000
Anogam_AGAP004683-RA	2208	1964.906	20.012957	993.000000
Anogam_AGAP004684-RA	441	221.263	156.782671	876.000000
Anogam_AGAP004685-RA	3393	3149.906	54.235831	4314.000000
Anogam_AGAP004686-RA	2703	2459.906	38.105136	2367.000000
Anogam_AGAP004687-RA	189	53.956	1.467900	2.000000
Anogam_AGAP028432-RA	3666	3422.906	0.694161	60.000000
Anogam_AGAP004688-RA	1023	779.906	0.253882	5.000000
Anogam_AGAP004689-RA	1836	1592.906	18.446652	742.000000
Anogam_AGAP004690-RA	414	199.235	12.720875	64.000000
Anogam_AGAP004691-RA	1857	1613.906	17.372360	708.000000
Anogam_AGAP028433-RA	13833	13589.906	8.702885	2986.592554
Anogam_AGAP004692-RA	5334	5090.906	21.142586	2718.000000
Anogam_AGAP004693-RA	3258	3014.906	0.144485	11.000000
Anogam_AGAP004694-RA	963	720.815	0.714206	13.000000
Anogam_AGAP028434-RA	1212	968.906	0.286102	7.000000
Anogam_AGAP028435-RA	336	139.993	9.528405	33.683824
Anogam_AGAP004695-RA	894	652.154	15.180759	250.000000
Anogam_AGAP004696-RA	1089	845.906	59.033274	1261.000000
Anogam_AGAP004698-RA	1173	929.906	32.578138	765.000000
Anogam_AGAP004699-RA	2004	1760.906	20.374916	906.000000
Anogam_AGAP004700-RA	927	684.959	78.049945	1350.000000
Anogam_AGAP004701-RA	4104	3860.906	2.030859	198.000000
Anogam_AGAP028436-RA	1740	1496.906	0.000000	0.000000
Anogam_AGAP004702-RA	723	482.917	0.984039	12.000000
Anogam_AGAP004703-RA	4140	3896.906	12.916039	1271.000000
Anogam_AGAP004704-RA	1446	1202.906	58.730946	1784.000000
Anogam_AGAP028437-RA	2589	2345.906	6.431587	381.000000
Anogam_AGAP004706-RA	462	238.944	1.325861	8.000000
Anogam_AGAP004707-RI	6387	6143.906	1.675840	260.000000
Anogam_AGAP004708-RA	1992	1748.906	43.565469	1924.000000
Anogam_AGAP004709-RA	519	289.023	174.558542	1274.000000
Anogam_AGAP004710-RA	171	46.625	1815.888587	2138.000000
Anogam_AGAP004711-RA	1842	1598.906	8.891506	359.000000
Anogam_AGAP004712-RA	552	319.185	3.846124	31.000000
Anogam_AGAP004713-RA	390	180.283	0.395861	1.802164
Anogam_AGAP004714-RA	1470	1226.906	0.580985	18.000000
Anogam_AGAP004715-RA	2778	2534.906	14.794214	947.000000
Anogam_AGAP004716-RA	1365	1121.906	0.070596	2.000000
Anogam_AGAP004717-RB	1563	1319.906	0.390036	13.000000
Anogam_AGAP004718-RA	1176	932.906	6.027738	142.000000
Anogam_AGAP004719-RA	1071	827.906	111.688832	2335.000000
Anogam_AGAP004720-RA	618	381.142	6.649617	64.000000
Anogam_AGAP004721-RA	1485	1241.906	21.268700	667.000000
Anogam_AGAP004722-RA	675	436.045	28.244415	311.000000
Anogam_AGAP004723-RA	573	338.658	27.362644	234.000000
Anogam_AGAP004724-RA	1872	1628.906	8.995173	370.000000
Anogam_AGAP004725-RA	2868	2624.906	31.364943	2079.000000
Anogam_AGAP004726-RA	1662	1418.906	3.628219	130.000000
Anogam_AGAP004727-RA	1290	1046.906	31.698608	838.000000
Anogam_AGAP004728-RA	2088	1844.906	0.450764	21.000000
Anogam_AGAP004729-RA	1560	1316.906	7.818481	260.000000
Anogam_AGAP004730-RA	819	577.700	1.302431	19.000000
Anogam_AGAP004731-RA	732	491.759	112.096040	1392.000000
Anogam_AGAP029113-RA	11877	11633.906	6.712512	1972.000000
Anogam_AGAP004733-RA	1947	1703.906	0.000000	0.000000
Anogam_AGAP004735-RA	1371	1127.906	15.588844	444.000000
Anogam_AGAP004736-RA	981	738.730	10.238849	191.000000
Anogam_AGAP004737-RA	1086	842.906	55.719786	1186.000000
Anogam_AGAP004738-RA	1641	1397.906	7.365448	260.000000
Anogam_AGAP004739-RA	1566	1322.906	20.086180	671.000000
Anogam_AGAP004740-RA	777	536.116	8.568457	116.000000
