UniqueCount	AmbigCount
3239	0
1207	0
1081	0
11	0
1	0
878	0
27	0
993	0
876	0
4314	0
2367	0
2	0
60	0
5	0
742	0
64	0
708	0
2986	79
2718	0
11	0
13	0
7	0
30	13
250	0
1261	0
765	0
906	0
1350	0
198	0
0	0
12	0
1271	0
1784	0
381	0
8	0
260	0
1924	0
1274	0
2138	0
359	0
31	0
1	1
18	0
947	0
2	0
13	0
142	0
2335	0
64	0
667	0
311	0
234	0
370	0
2079	0
130	0
838	0
21	0
260	0
19	0
1392	0
1972	0
0	0
444	0
191	0
1186	0
260	0
671	0
116	0
0	0
3987	0
2607	0
4152	0
1871	0
1657	0
982	0
337	0
564	0
5824	0
390	0
310	0
358	0
1411	0
251	0
1056	0
406	0
1184	0
3117	0
200	0
3	0
86	0
837	0
32	0
407	0
1211	0
343	0
1130	0
80	0
238	0
500	0
18	0
27	0
448	0
400	2151
2357	0
1824	0
475	0
134	0
2498	0
492	0
631	0
489	0
59	0
746	0
450	0
260	2151
2249	0
1	348
79	194
1838	348
0	194
489	0
407	1
4205	0
1917	0
550	0
985	0
348	0
213	0
786	0
1796	0
717	0
166	0
304	0
827	0
788	202
976	0
3161	0
530	0
149	0
1906	0
0	0
8	0
10	4
50	336
1833	0
385	0
6009	0
581	0
46	0
223	0
593	0
54	0
70	0
430	0
22	0
774	0
0	0
42	0
231	132
241	0
87	0
814	0
3172	0
175	253
259	0
134	0
1034	0
468	0
215	0
349	0
639	0
1242	0
847	0
724	0
882	0
353	0
13	7
2695	0
866	0
2118	0
4408	0
48	0
1781	0
1256	0
5138	0
808	0
2085	0
118	0
224	0
233	0
776	0
892	0
687	0
54	0
1662	0
21	0
14	0
72	0
56	0
0	0
0	0
298	0
14	0
9	0
308	0
340	0
1515	177
103	0
980	0
728	0
4847	0
5611	0
1846	0
552	0
2181	0
227	0
181	0
2	0
0	2
38	0
135	0
0	0
0	0
4904	0
1911	0
270	0
54	0
890	0
3272	0
176	0
462	0
16	0
2	0
251	0
241	0
1449	0
2619	0
16	0
6436	0
152	0
841	11
84	3
5260	11
104	1
2747	0
411	17
571	273
42	273
16	0
1223	0
1026	0
57	0
130	32
58	0
369	0
751	0
117	0
242	0
6077	0
4777	0
731	0
2740	0
227	0
977	0
41	0
23	0
558	0
441	0
3233	0
1791	0
142	0
291	0
0	0
414	0
739	0
337	0
