UniqueCount	AmbigCount
3104	0
798	0
670	0
22	0
4	0
708	0
49	0
310	0
783	0
791	0
1866	0
0	0
126	0
1	0
580	0
60	0
707	0
3441	23
2338	0
31	0
16	0
1	0
13	11
323	0
1196	0
594	0
407	0
109	0
161	0
0	0
9	0
933	0
358	0
258	0
0	0
220	0
920	0
447	0
934	0
114	0
9	0
7	2
33	0
682	0
0	0
0	0
9	0
138	0
9	0
550	0
180	0
293	0
8	0
1918	0
25	0
0	0
0	0
255	0
3	0
108	0
1498	0
19	0
30	0
119	0
394	0
189	0
2798	0
0	0
0	0
2059	0
1727	0
1504	0
370	0
292	0
1088	0
351	0
685	0
8260	0
264	0
582	0
41	0
390	0
109	0
89	0
335	0
601	0
2792	0
309	0
8	0
62	0
892	0
20	0
52	0
299	0
106	0
925	0
60	1
493	0
472	0
6	0
8	0
478	0
294	1837
396	0
1900	0
370	0
40	0
320	0
491	0
164	0
181	0
30	0
6670	0
473	0
211	1837
22544	0
0	173
50	130
1221	173
0	130
283	0
137	0
489	0
268	0
259	0
843	0
0	0
243	0
1153	0
2456	0
127	0
119	0
430	0
22	0
38	10
21	0
57	0
11	0
41	0
700	0
0	0
0	0
0	1
9	88
2945	0
356	0
3919	0
224	0
98	0
178	0
47	0
110	0
67	0
1	0
12	0
704	0
0	0
0	0
92	142
22	0
39	0
2728	0
3784	0
142	193
345	0
121	0
293	0
263	0
298	0
230	0
429	0
426	0
237	0
940	0
255	0
300	0
10	3
2223	0
526	0
815	0
617	0
117	0
135	0
221	0
11	0
494	0
0	0
6	0
189	0
161	0
917	0
839	0
951	0
70	0
669	0
31	0
13	0
190	0
268	0
0	0
0	0
376	0
0	0
3	0
945	0
84	0
1168	160
200	0
1096	0
949	0
5047	0
9589	0
1	0
775	0
2226	0
87	0
348	0
0	0
0	2
1	0
37	0
0	0
35	0
4	0
1	0
0	0
105	0
267	0
7392	0
118	0
296	0
4	0
0	0
177	0
130	0
63	0
954	0
0	0
0	0
111	0
68	2
324	3
557	1
555	2
5890	0
65	2
2	0
0	0
34	0
696	0
679	0
64	0
62	12
10	0
83	0
346	0
185	0
389	0
55505	0
857	0
469	0
1423	0
0	0
1615	0
34	0
15	1
225	0
743	0
2	0
1404	0
228	0
281	0
0	0
371	0
398	0
171	0
87	0
220	0
99	0
203	0
430	0
4366	0
0	0
76	1279
536	1279
125	14
62	0
326	0
12	0
0	0
0	0
17	0
8	14
5	14
0	0
43	0
12	0
38240	0
7399	0
0	0
2	0
1933	26
37	0
52	0
119	0
230	0
472	0
0	0
9	0
252	0
890	0
3531	0
391	0
7213	0
1	0
0	1
0	0
0	0
0	0
0	0
0	0
15	0
0	0
306	0
368	0
1190	0
198	0
486	0
233	0
311	0
1	0
151	0
151	81
128	95
261	0
269	0
35	0
281	0
43	0
24	0
943	0
1	67
1	5
24	0
1	0
26	5
33	67
1	2
335	0
389	3
358	0
594	0
505	0
64	0
277	0
72	1
28	0
28	0
420	0
122	0
0	0
587	0
32	0
479	0
1	0
5337	0
1	0
0	0
84	0
106	0
67	11
47	25
124	0
258	0
689	0
13	0
248	73
50	0
71	0
35	0
12	4
521	4
2883	2
466	0
311	0
253	0
0	0
0	0
4	3
0	0
23	0
12	0
0	0
163	0
334	0
4	0
8	0
6	0
681	0
444	0
75	0
269	0
767	0
544	0
1529	0
1523	0
1	1
2188	0
57	0
0	0
2406	8
0	0
0	0
0	49
722	0
46	0
213	0
447	0
132	0
111	0
231	0
48	0
59	0
77	0
1941	0
906	0
1321	0
282	0
101	0
47	0
34	0
254	0
111	0
430	0
358	0
141	0
303	0
961	0
1294	0
213	0
6206	0
117	0
70	0
269	0
132	0
703	0
363	0
4439	0
227	0
654	0
7426	0
105	1
138	0
26	0
5	0
32	0
122	0
379	0
424	0
268	0
3	0
8	0
602	0
312	0
488	0
187	0
741	0
1611	0
456	0
99	0
45	0
103	0
4045	0
180	0
470	0
4	0
642	0
39	0
7	0
656	0
235	0
0	0
458	0
0	0
0	0
254	0
310	0
8876	0
57	0
10	0
152	0
0	0
65	0
0	0
0	0
1710	1
0	0
1737	66
2391	0
217	0
162	0
270	0
195	0
205	0
34	0
17	0
3	0
766	0
276	0
188	0
292	0
173	0
963	0
2643	0
929	0
139	0
3	0
29	0
986	0
301	0
334	0
118	0
99	0
0	0
69	0
707	0
19	0
125	0
33	0
67	0
498	0
99	0
41	0
90	0
67	0
164	0
85	0
89	0
4	0
76	0
49	0
4	0
638	0
7	0
481	0
308	0
3	0
49	0
319	0
17	0
168	0
23	0
127	517
2361	0
7208	0
839	0
0	0
283	0
327	0
42	0
150	0
246	0
1	0
62	0
1	0
45	0
18	0
145	0
205	0
200	0
151	0
1049	0
0	5
1	5
2	5
29	0
44	0
375	0
92	0
21	0
104	0
11	0
206	0
424	0
574	0
1	0
8	0
88	0
462	0
0	0
179	2
346	0
297	0
49	0
810	0
884	3
46	0
702	1
207	0
124	0
21	0
82	0
72	0
229	0
900	0
5	0
29	0
0	0
296	0
101	0
146	0
77	0
0	0
0	0
0	0
8	0
34	0
164	0
159	0
1446	0
2629	0
8	0
40	0
523	0
76	0
158	0
82	0
511	0
219	0
317	0
1427	0
0	0
9	0
9	0
178	0
13	0
19	0
215	0
197	0
349	0
0	0
11	0
20	0
8	0
369	0
174	0
96	0
609	0
16	0
5	0
160	0
103	0
4	0
251	0
421	0
144	0
138	0
1	0
3	0
1	0
440	0
413	0
111	0
140	0
20	0
776	0
853	0
160	0
1	0
1365	0
15	0
30	0
173	0
8	0
293	0
1095	0
935	0
186	0
26	0
62	0
875	0
419	0
341	0
31	0
0	0
0	0
0	0
3	0
96	0
5	0
0	0
507	0
105	0
1553	0
569	0
56	0
19	0
446	0
3	0
742	0
1091	0
295	0
749	0
310	0
653	0
32	0
11	0
162	0
582	0
87	0
0	0
243	0
1146	0
118	0
0	0
5	0
553	0
120	0
6	0
384	0
472	0
1796	0
11	0
53	0
698	0
6846	0
150	0
142	0
368	0
165	0
574	0
135	0
511	0
9	0
259	0
66	0
266	0
138	7
376	0
1797	0
21	0
61	0
88	0
229	0
0	0
522	0
0	0
0	0
0	0
0	0
639	0
0	0
0	0
1253	0
152	0
118	0
1268	0
0	0
88	0
3	0
0	0
1271	0
29	0
0	0
0	0
16	0
113	0
41	0
157	0
43	0
40	0
98	0
40	0
21	0
62	0
52	0
8	3
26	0
12	0
10	3
487	0
10	0
32	0
28	0
0	0
3	0
0	0
67	0
0	0
41	0
0	0
724	0
291	0
18	0
228	0
32	0
23	0
2026	0
46	0
46	0
246	0
6115	0
1231	0
190	0
287	0
1	0
3763	0
28	0
0	0
0	0
0	0
21	0
0	0
259	0
322	0
92	0
305	0
133	0
638	0
400	0
29975	0
7	0
1861	0
1041	0
76	0
5205	0
210	0
553	0
84	0
1485	0
162	0
191	0
479	0
374	0
665	0
51	0
119	0
1210	0
154	0
477	0
9	0
64111	122218
2531	122218
935	0
356	0
1006	0
221	0
79	0
205	0
664	0
1	0
2248	0
457	0
166	0
214	0
171	0
1817	0
161	0
310	0
313	0
649	0
90	0
857	0
155	0
32	0
54	0
83	0
156	0
184	0
2059	0
505	0
103	0
0	0
2696	0
338	0
131	0
114	0
541	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
357	0
5	1
0	1
0	0
54	0
6	0
4	0
531	13
303	13
48	0
42	0
591	0
2585	0
497	0
15	0
2930	0
194	0
0	0
0	0
176	0
157	0
1042	0
800	0
208	0
155	0
524	0
365	0
294	0
785	0
3320	0
397	174
5	0
81	0
3529	0
201	0
223	37
114	0
25	0
356	0
0	0
14	0
0	0
95	0
128	0
187	0
4	0
104	0
44	0
4	0
74	0
206	0
41	0
381	0
107	0
93	0
3066	0
692	0
475	0
426	15
229	0
9	5
39	0
23	0
7	1
270	0
3747	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2773	15
114	0
3835	0
163	0
7	0
11	0
0	0
194	0
27	0
0	0
221	0
155	0
355	0
1382	0
0	0
0	0
0	0
0	0
0	0
0	0
574	0
0	0
0	0
0	0
0	0
79	0
229	213
342	0
2	0
0	0
0	0
5	0
0	0
0	0
1	0
0	0
360	0
628	0
301	0
20	0
2	0
7	0
2758	0
41	0
97	0
119	6
228	0
23	0
53	0
43	0
379	0
40	0
88	0
6	0
1498	0
245	0
3	0
265	0
35	0
529	0
5	0
307	0
197	0
6	0
166	0
18	0
15	0
11	0
91	0
41	0
1104	0
48	0
132	0
40	0
248	0
2458	0
176	0
0	0
176	0
14	0
0	0
5	0
95	0
458	0
128	0
1199	0
7	0
294	0
209	0
465	0
171	0
58	0
3	4
4	4
12	0
128	0
39	0
1240	0
97	0
156	0
23	0
5339	0
263	0
1309	0
108	0
27	0
111	0
2119	0
1167	0
287	0
240	0
1	0
7	0
0	0
26	0
166	0
41	0
0	0
0	0
0	0
0	0
19	0
1	0
51	0
115	0
275	0
197	0
418	0
14822	0
155	0
0	0
0	0
34	0
80	0
2	0
143	0
0	0
176	0
170	0
3581	0
71	0
88	0
20	0
48	0
93	0
30	0
1601	0
17	0
176	0
849	0
177	0
500	0
401	0
111	0
9	0
268	0
305	0
7	0
18	0
2	0
22	0
170	0
165	0
349	0
5	0
181	0
37	0
454	0
48	0
1246	0
0	0
326	0
5	0
272	0
2013	0
0	0
136	0
257	0
240	0
0	0
1	0
1	0
1270	0
185	0
199	0
0	0
420	0
549	0
26	0
285	0
315	0
1672	0
349	0
216	0
61	49
287	0
18	0
1007	0
201	0
77	2
1	0
399	14
301	0
351	0
201	0
5	0
92	0
24	0
4052	0
1838	0
1617	0
756	0
661	0
79	0
1237	0
0	0
0	0
541	0
176	0
0	0
1122	0
7	0
2	0
174	0
34	0
111	0
2	0
3	0
249	0
269	0
36	82
147	139
360	64
2242	0
22	0
944	0
155	0
396	0
198	0
268	0
43	0
203	0
63	0
23	0
38	0
258	0
271	0
76	0
3679	0
0	0
1175	0
24	0
3233	0
791	0
872	0
108	0
344	0
85	0
114	0
193	0
0	0
7	0
146	0
33	1
267	1
7	0
6622	0
298	0
670	0
0	0
674	0
352	0
618	0
275	0
137	0
137	0
1	0
4	0
9674	0
572	0
210	0
435	0
2241	0
0	0
0	0
0	0
0	0
5	0
2343	0
295	0
195	0
6	0
462	0
123	0
115	0
729	0
474	0
446	0
1786	0
138	0
18	0
13230	0
5250	0
12953	0
498	0
43	0
49	0
171	0
9422	0
46	0
22	0
0	0
9	0
3	0
0	0
18	0
2	0
617	0
3491	0
0	0
0	0
1	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
214	0
3	0
613	0
113	0
2	0
83	0
49	0
179	0
1385	0
11	0
2	0
2	4
33	4
106	0
2	0
348	0
129	0
6	0
0	0
1	16
0	0
0	0
9282	0
745	0
70	0
2349	0
516	0
316	0
515	0
365	0
51	0
155	0
34	0
235	0
8	0
137	0
201	0
99	0
0	0
53	0
120	0
24	0
0	0
40	0
0	0
294	0
143	0
226	0
43	0
104	0
2	0
4778	0
17	0
552	0
512	0
1016	0
23	0
1	0
0	0
1	1
7	1
4	0
2	0
8	0
9	0
69	0
131	0
116	0
53	0
6	0
0	0
327	0
96	0
702	0
737	0
367	0
2	0
9	0
67	0
0	0
1218	0
1228	0
188	0
1783	0
864	0
834	0
182	0
218	0
533	0
16	0
139	0
1052	0
677	0
146	0
66	0
38	0
75	0
1374	0
1476	0
73	0
669	0
151	0
188	0
53	0
544	0
1	0
0	0
330	0
262	0
14	0
94	0
1004	0
84	0
71	0
1160	0
405	0
287	0
1109	0
0	0
0	0
122	0
