UniqueCount	AmbigCount
4152	0
661	0
814	0
6	0
0	0
829	0
28	0
578	0
1310	0
981	0
2018	0
0	0
36	0
0	0
546	0
86	0
775	0
3902	27
2783	0
65	0
13	0
0	0
29	8
501	0
1237	0
539	0
351	0
11	0
62	0
4	0
6	0
1569	0
530	0
405	0
0	0
149	0
1075	0
766	0
1284	0
198	0
5	0
2	3
66	0
870	0
0	0
0	0
5	0
0	0
6	0
564	0
274	0
296	0
0	0
2044	0
1	0
0	0
1	0
213	0
0	0
32	0
1352	3
23	0
40	0
201	0
548	0
198	0
2785	0
0	0
19	0
2191	0
2098	0
2281	0
322	0
334	0
1210	0
798	0
1228	0
7629	0
270	0
498	0
36	0
387	0
125	0
47	0
431	0
811	0
3606	0
328	0
0	0
223	0
2165	0
10	0
35	0
392	0
158	0
790	0
32	0
462	0
535	0
16	0
4	0
406	0
366	2324
365	0
1935	0
575	0
44	0
338	0
409	0
70	0
379	0
21	0
8257	0
460	0
245	2324
33835	0
0	290
56	198
1744	290
0	198
317	0
68	0
140	0
287	0
243	0
1188	0
0	0
173	0
1288	0
1015	0
152	0
112	0
382	0
15	0
22	2
5	0
46	0
7	0
23	0
1086	0
0	0
0	0
1	4
26	199
2296	0
478	0
5873	0
317	0
88	0
208	0
37	0
84	0
42	0
0	0
3	0
581	0
0	0
0	0
151	129
0	0
65	0
4036	0
5846	0
221	275
467	0
202	0
405	0
227	0
194	0
134	0
355	0
106	0
230	0
1127	0
158	0
263	0
14	2
2758	0
338	0
937	0
293	0
152	0
79	0
128	0
0	0
105	0
0	0
3	0
261	0
66	0
752	0
1169	0
1065	0
31	0
550	0
18	0
0	0
406	0
588	0
19	0
0	0
77	0
0	0
0	0
1604	0
55	0
1445	148
541	0
1209	0
1252	0
6158	0
11537	0
0	0
739	0
1620	0
59	0
508	0
1	0
3	2
3	0
1	0
6	0
10	0
0	0
9	0
3	0
51	0
328	0
11574	0
204	0
443	0
0	0
1	0
157	0
105	0
70	0
985	0
0	0
0	0
3	0
32	1
253	1
414	1
456	1
6200	0
25	1
0	0
0	0
28	0
939	0
852	0
22	0
95	7
9	0
100	0
519	0
202	0
451	0
44863	0
1013	0
566	0
1042	0
0	0
1504	0
0	0
2	1
261	0
709	0
2	0
1386	0
81	0
129	0
0	0
575	0
353	0
278	0
97	0
50	0
26	0
289	0
573	0
5646	0
6	0
180	261
374	261
169	28
66	0
323	0
0	0
4	0
0	0
23	0
6	3
0	3
0	0
10	0
0	0
18394	0
